ID	NUMBER	PAGENUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Grierson-1928-168-1	1	2-3	One	1493	ONE
Grierson-1928-168-2	2	4-5	Two	1498	TWO
Grierson-1928-168-3	3	6-7	Three	492	THREE
Grierson-1928-168-4	4	8-9	Four	1500	FOUR
Grierson-1928-168-5	5	10-11	Five	493	FIVE
Grierson-1928-168-6	6	12-13	Six	1703	SIX
Grierson-1928-168-7	7	14-15	Seven	1704	SEVEN
Grierson-1928-168-8	8	16-17	Eight	1705	EIGHT
Grierson-1928-168-9	9	18-19	Nine	1483	NINE
Grierson-1928-168-10	10	20-21	Ten	1515	TEN
Grierson-1928-168-11	11	22-23	Twenty	1710	TWENTY
Grierson-1928-168-12	12	24-25	Fifty	1717	FIFTY
Grierson-1928-168-13	13	26-27	Hundred	1634	HUNDRED
Grierson-1928-168-14	14	28-29	I	1209	I
Grierson-1928-168-15	15	30-31	My	2090	MY
Grierson-1928-168-16	16	32-33	We	1212	WE
Grierson-1928-168-17	17	34-35	Our	780	OUR
Grierson-1928-168-18	18	36-37	Thou	1215	THOU
Grierson-1928-168-19	19	38-39	Thy	732	YOUR (SINGULAR)
Grierson-1928-168-20	20	40-41	You	1213	YOU
Grierson-1928-168-21	21	42-43	Your	2091	YOUR
Grierson-1928-168-22	22	44-45	He	2642	HE OR SHE
Grierson-1928-168-23	23	46-47	His	2092	HIS OR HER
Grierson-1928-168-24	24	48-49	They	817	THEY
Grierson-1928-168-25	25	50-51	Their	2400	THEIR
Grierson-1928-168-26	26	52-53	Hand	1277	HAND
Grierson-1928-168-27	27	54-55	Foot	1301	FOOT
Grierson-1928-168-28	28	56-57	Nose	1221	NOSE
Grierson-1928-168-29	29	58-59	Eye	1248	EYE
Grierson-1928-168-30	30	60-61	Mouth	674	MOUTH
Grierson-1928-168-31	31	62-63	Tooth	1380	TOOTH
Grierson-1928-168-32	32	64-65	Ear	1247	EAR
Grierson-1928-168-33	33	66-67	Hair	1040	HAIR
Grierson-1928-168-34	34	68-69	Head	1256	HEAD
Grierson-1928-168-35	35	70-71	Tongue	1205	TONGUE
Grierson-1928-168-36	36	72-73	Belly	1251	BELLY
Grierson-1928-168-37	37	74-75	Back	1291	BACK
Grierson-1928-168-38	38	76-77	Iron	621	IRON
Grierson-1928-168-39	39	78-79	Gold	1369	GOLD
Grierson-1928-168-40	40	80-81	Silver	759	SILVER
Grierson-1928-168-41	41	82-83	Slave	812	SLAVE
Grierson-1928-168-42	42	84-85	Cultivator	979	FARMER
Grierson-1928-168-43	43	86-87	Shepherd	2544	SHEPHERD
Grierson-1928-168-44	44	88-89	God	3231	DEITY
Grierson-1928-168-45	45	90-91	Devil	1973	DEMON
Grierson-1928-168-46	46	92-93	Sun	1343	SUN
Grierson-1928-168-47	47	94-95	Moon	1313	MOON
Grierson-1928-168-48	48	96-97	Star	1430	STAR
Grierson-1928-168-49	49	98-99	Fire	221	FIRE
Grierson-1928-168-50	50	100-101	Water	948	WATER
Grierson-1928-168-51	51	102-103	House	1252	HOUSE
Grierson-1928-168-52	52	104-105	Horse	615	HORSE
Grierson-1928-168-53	53	106-107	Ass	1862	DONKEY
Grierson-1928-168-54	54	108-109	Camel	1871	CAMEL
Grierson-1928-168-55	55	110-111	Cow	3044	BOVINE
Grierson-1928-168-56	56	112-113	Dog	2009	DOG
Grierson-1928-168-57	57	114-115	Cat	1208	CAT
Grierson-1928-168-58	58	116-117	Bird	937	BIRD
Grierson-1928-168-59	59	118-119	Cock	1511	ROOSTER
Grierson-1928-168-60	60	120-121	Duck	1360	DUCK
Grierson-1928-168-61	61	122-123	Father	1217	FATHER
Grierson-1928-168-62	62	124-125	Of a Father		
Grierson-1928-168-63	63	126-127	To a Father		
Grierson-1928-168-64	64	128-129	From a Father		
Grierson-1928-168-65	65	130-131	Two Fathers		
Grierson-1928-168-66	66	132-133	Fathers		
Grierson-1928-168-67	67	134-135	Of Fathers		
Grierson-1928-168-68	68	136-137	To Fathers		
Grierson-1928-168-69	69	138-139	From Fathers		
Grierson-1928-168-70	70	140-141	Mother	1216	MOTHER
Grierson-1928-168-71	71	142-143	Brother	1262	BROTHER
Grierson-1928-168-72	72	144-145	Sister	1263	SISTER
Grierson-1928-168-73	73	146-147	Man	683	PERSON
Grierson-1928-168-74	74	148-149	Woman	962	WOMAN
Grierson-1928-168-75	75	150-151	Wife	1199	WIFE
Grierson-1928-168-76	76	152-153	Child	1304	CHILD (YOUNG HUMAN)
Grierson-1928-168-77	77	154-155	Son	1620	SON
Grierson-1928-168-78	78	156-157	Daughter	1357	DAUGHTER
Grierson-1928-168-79	79	158-159	Daughters		
Grierson-1928-168-80	80	160-161	Horse (male)	936	STALLION
Grierson-1928-168-81	81	162-163	Mare	938	MARE
Grierson-1928-168-82	82	164-165	Horses		
Grierson-1928-168-83	83	166-167	Mares		
Grierson-1928-168-84	84	168-169	Bull	1008	BULL
Grierson-1928-168-85	85	170-171	Cow	1007	COW
Grierson-1928-168-86	86	172-173	Bulls		
Grierson-1928-168-87	87	174-175	Cows		
Grierson-1928-168-88	88	176-177	Dog (male)	2480	MALE DOG
Grierson-1928-168-89	89	178-179	Bitch	2481	FEMALE DOG
Grierson-1928-168-90	90	180-181	Dogs		
Grierson-1928-168-91	91	182-183	Bitches		
Grierson-1928-168-92	92	184-185	He goat	2475	MALE GOAT
Grierson-1928-168-93	93	186-187	Female goat	2476	FEMALE GOAT
Grierson-1928-168-94	94	188-189	Goats		
Grierson-1928-168-95	95	190-191	Male deer		
Grierson-1928-168-96	96	192-193	Female deer		
Grierson-1928-168-97	97	194-195	Deer	1936	DEER
Grierson-1928-168-98	98	196-197	Good man		
Grierson-1928-168-99	99	198-199	Good men		
Grierson-1928-168-100	100	200-201	Good woman		
Grierson-1928-168-101	101	202-203	Good women		
Grierson-1928-168-102	102	204-205	Bad boy		
Grierson-1928-168-103	103	206-207	Bad girl		
Grierson-1928-168-104	104	208-209	High	1265	HIGH
Grierson-1928-168-105	105	210-211	Up	1591	UP
Grierson-1928-168-106	106	212-213	Down	1326	DOWN
Grierson-1928-168-107	107	214-215	Near	1942	NEAR
Grierson-1928-168-108	108	216-217	Far	1406	FAR
Grierson-1928-168-109	109	218-219	Before	1882	BEFORE
Grierson-1928-168-110	110	220-221	Behind	1686	BEHIND
Grierson-1928-168-111	111	222-223	Who?	1235	WHO
Grierson-1928-168-112	112	224-225	What?	1236	WHAT
Grierson-1928-168-113	113	226-227	Why?	1270	WHY
Grierson-1928-168-114	114	228-229	And	1577	AND
Grierson-1928-168-115	115	230-231	But		
Grierson-1928-168-116	116	232-233	Yes	1268	YES
Grierson-1928-168-117	117	234-235	No	1269	NO
Grierson-1928-168-118	118	236-237	Go	695	GO
Grierson-1928-168-119	119	238-239	Eat	1336	EAT
Grierson-1928-168-120	120	240-241	Sit	1416	SIT
Grierson-1928-168-121	121	242-243	Come	1446	COME
Grierson-1928-168-122	122	244-245	Stand	1442	STAND
Grierson-1928-168-123	123	246-247	Die	1494	DIE
Grierson-1928-168-124	124	248-249	Give	1447	GIVE
Grierson-1928-168-125	125	250-251	Run	1519	RUN
Grierson-1928-168-126	126	252-253	I am		
Grierson-1928-168-127	127	254-255	Thou art		
Grierson-1928-168-128	128	256-257	He is		
Grierson-1928-168-129	129	258-259	We are		
Grierson-1928-168-130	130	260-261	You are		
Grierson-1928-168-131	131	262-263	They are		
Grierson-1928-168-132	132	264-265	I was		
Grierson-1928-168-133	133	266-267	Thou wast		
Grierson-1928-168-134	134	268-269	He was		
Grierson-1928-168-135	135	270-271	We were		
Grierson-1928-168-136	136	272-273	You were		
Grierson-1928-168-137	137	274-275	They were		
Grierson-1928-168-138	138	276-277	Beat	1665	BEAT
Grierson-1928-168-139	139	278-279	I beat		
Grierson-1928-168-140	140	280-281	Thou beatest		
Grierson-1928-168-141	141	282-283	He beats		
Grierson-1928-168-142	142	284-285	We beat		
Grierson-1928-168-143	143	286-287	You beat		
Grierson-1928-168-144	144	288-289	They beat		
Grierson-1928-168-145	145	290-291	I beat (Past Tense)		
Grierson-1928-168-146	146	292-293	Thou beatest (Past Tense)		
Grierson-1928-168-147	147	294-295	He beat (Past Tense)		
Grierson-1928-168-148	148	296-297	We beat (Past Tense)		
Grierson-1928-168-149	149	298-299	You beat (Past Tense)		
Grierson-1928-168-150	150	300-301	They beat (Past Tense)		
Grierson-1928-168-151	151	302-303	I shall beat		
Grierson-1928-168-152	152	304-305	Thou wilt beat		
Grierson-1928-168-153	153	306-307	He will beat		
Grierson-1928-168-154	154	308-309	We shall beat		
Grierson-1928-168-155	155	310-311	You will beat		
Grierson-1928-168-156	156	312-313	They will beat		
Grierson-1928-168-157	157	314-315	I go		
Grierson-1928-168-158	158	316-317	Thou goest		
Grierson-1928-168-159	159	318-319	He goes		
Grierson-1928-168-160	160	320-321	We go		
Grierson-1928-168-161	161	322-323	You go		
Grierson-1928-168-162	162	324-325	They go		
Grierson-1928-168-163	163	326-327	I went		
Grierson-1928-168-164	164	328-329	Thou wentest		
Grierson-1928-168-165	165	330-331	He went		
Grierson-1928-168-166	166	332-333	We went		
Grierson-1928-168-167	167	334-335	You went		
Grierson-1928-168-168	168	336-337	They went		
