ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SOUND_SYMBOLIC	LEXIBANK_GLOSS
Johansson-2020-344-1	1	ABOVE	1741	ABOVE	0	above
Johansson-2020-344-2	2	AFRAID	3033	SCARED	0	afraid
Johansson-2020-344-3	3	AFTER	1685	AFTER	0	after
Johansson-2020-344-4	4	AIR	27	AIR	0	air
Johansson-2020-344-5	5	ALL	98	ALL	0	all
Johansson-2020-344-6	6	ANGRY	1826	ANGRY	0	angry
Johansson-2020-344-7	7	ANIMAL	619	ANIMAL	0	animal
Johansson-2020-344-8	8	ANT	587	ANT	0	ant
Johansson-2020-344-9	9	ARM (UPPER)	431	UPPER ARM	0	arm (upper)
Johansson-2020-344-10	10	ARM (LOWER)	446	LOWER ARM	0	arm (lower)
Johansson-2020-344-11	11	ASHES	646	ASH	1	ashes
Johansson-2020-344-12	12	BACK	1291	BACK	1	back
Johansson-2020-344-13	13	BAD	1292	BAD	0	bad
Johansson-2020-344-14	14	BARK	1204	BARK	1	bark
Johansson-2020-344-15	15	BEAUTIFUL	1427	BEAUTIFUL	0	beautiful
Johansson-2020-344-16	16	BECAUSE	1157	BECAUSE	0	because
Johansson-2020-344-17	17	BEFORE	1882	BEFORE	0	before
Johansson-2020-344-18	18	BEHIND	1686	BEHIND	0	behind
Johansson-2020-344-19	19	BELLY	1251	BELLY	0	belly
Johansson-2020-344-20	20	BELOW	1485	BELOW OR UNDER	0	below
Johansson-2020-344-21	21	BESIDE	1816	BESIDE	0	beside
Johansson-2020-344-22	22	BETWEEN	689	BETWEEN	0	between
Johansson-2020-344-23	23	BIG	1202	BIG	0	big
Johansson-2020-344-24	24	BIRD	937	BIRD	0	bird
Johansson-2020-344-25	25	BITE	1403	BITE	0	bite
Johansson-2020-344-26	26	BITTER	887	BITTER	0	bitter
Johansson-2020-344-27	27	BLACK	163	BLACK	0	black
Johansson-2020-344-28	28	BLOOD	946	BLOOD	0	blood
Johansson-2020-344-29	29	BLOW	175	BLOW (OF WIND)	1	blow
Johansson-2020-344-30	30	BLUE	837	BLUE	0	blue
Johansson-2020-344-31	31	BLUNT	379	BLUNT	1	blunt
Johansson-2020-344-32	32	BODY	1480	BODY	0	body
Johansson-2020-344-33	33	BONE	1394	BONE	1	bone
Johansson-2020-344-34	34	BOY	1366	BOY	0	boy
Johansson-2020-344-35	35	BRAIN	1583	BRAIN	1	brain
Johansson-2020-344-36	36	BREAST	1402	BREAST	1	breast
Johansson-2020-344-37	37	BREATHE	1407	BREATHE	0	breathe
Johansson-2020-344-38	38	BURN	2102	BURN	0	burn
Johansson-2020-344-39	39	BUTTOCKS	834	BUTTOCKS	1	buttocks
Johansson-2020-344-40	40	CARRY	700	CARRY	0	carry
Johansson-2020-344-41	41	CLEAN	704	CLEAN	0	clean
Johansson-2020-344-42	42	CLOUD	1489	CLOUD	1	cloud
Johansson-2020-344-43	43	COLD	1287	COLD	0	cold
Johansson-2020-344-44	44	COME	1446	COME	0	come
Johansson-2020-344-45	45	CORRECT	1725	CORRECT (RIGHT)	0	correct
Johansson-2020-344-46	46	COUGH	879	COUGH	1	cough
Johansson-2020-344-47	47	CROOKED	297	CROOKED	0	crooked
Johansson-2020-344-48	48	CRUSH	1520	CRUSH	0	crush
Johansson-2020-344-49	49	CRY	1839	CRY	0	cry
Johansson-2020-344-50	50	DARK	706	DARK	0	dark
Johansson-2020-344-51	51	DAY	1225	DAY (NOT NIGHT)	0	day
Johansson-2020-344-52	52	DEEP	1593	DEEP	1	deep
Johansson-2020-344-53	53	DEFECATE	676	SHIT (DEFECATE)	0	defecate
Johansson-2020-344-54	54	DIE	1494	DIE	0	die
Johansson-2020-344-55	55	DIRTY	1230	DIRTY	0	dirty
Johansson-2020-344-56	56	DO	813	DO	0	do
Johansson-2020-344-57	57	DOG	2009	DOG	0	dog
Johansson-2020-344-58	58	DRINK	1401	DRINK	0	drink
Johansson-2020-344-59	59	DRY	1398	DRY	0	dry
Johansson-2020-344-60	60	DUST	2	DUST	1	dust
Johansson-2020-344-61	61	EAR	1247	EAR	0	ear
Johansson-2020-344-62	62	EARTH	1228	EARTH (SOIL)	0	earth
Johansson-2020-344-63	63	EAT	1336	EAT	0	eat
Johansson-2020-344-64	64	EGG	744	EGG	0	egg
Johansson-2020-344-65	65	EIGHT	1705	EIGHT	0	eight
Johansson-2020-344-66	66	ELEVEN	1706	ELEVEN	0	eleven
Johansson-2020-344-67	67	EMPTY	1624	EMPTY	1	empty
Johansson-2020-344-68	68	EYE	1248	EYE	0	eye
Johansson-2020-344-69	69	FALL	1280	FALL	0	fall
Johansson-2020-344-70	70	FAR	1406	FAR	0	far
Johansson-2020-344-71	71	FART	1159	FART	1	fart
Johansson-2020-344-72	72	FEATHER	1201	FEATHER	0	feather
Johansson-2020-344-73	73	FEW	1242	FEW	0	few
Johansson-2020-344-74	74	FINGER	1303	FINGER	0	finger
Johansson-2020-344-75	75	FINGERNAIL	1258	FINGERNAIL	0	fingernail
Johansson-2020-344-76	76	FIRE	221	FIRE	0	fire
Johansson-2020-344-77	77	FISH	227	FISH	0	fish
Johansson-2020-344-78	78	FIVE	493	FIVE	0	five
Johansson-2020-344-79	79	FLAT	1633	FLAT	1	flat
Johansson-2020-344-80	80	FLESH	2259	FLESH	0	flesh
Johansson-2020-344-81	81	FLOWER	239	FLOWER	0	flower
Johansson-2020-344-82	82	FLY (N)	1504	FLY (INSECT)	0	fly1
Johansson-2020-344-83	83	FLY (V)	1441	FLY (MOVE THROUGH AIR)	0	fly
Johansson-2020-344-84	84	FOOT	1301	FOOT	0	foot
Johansson-2020-344-85	85	FOUR	1500	FOUR	0	four
Johansson-2020-344-86	86	FULL	1429	FULL	0	full
Johansson-2020-344-87	87	GIRL	1646	GIRL	0	girl
Johansson-2020-344-88	88	GIVE	1447	GIVE	0	give
Johansson-2020-344-89	89	GO	695	GO	0	go
Johansson-2020-344-90	90	GOOD	1035	GOOD	0	good
Johansson-2020-344-91	91	GRASS	606	GRASS	0	grass
Johansson-2020-344-92	92	GRAY	153	GREY	1	gray
Johansson-2020-344-93	93	GREASE	323	FAT (ORGANIC SUBSTANCE)	0	grease
Johansson-2020-344-94	94	GREEN	1425	GREEN	0	green
Johansson-2020-344-95	95	GROW	479	GROW	0	grow
Johansson-2020-344-96	96	HAIR	1040	HAIR	0	hair
Johansson-2020-344-97	97	HALF	816	HALF	0	half
Johansson-2020-344-98	98	HAND	1277	HAND	0	hand
Johansson-2020-344-99	99	HAPPY	1495	HAPPY	0	happy
Johansson-2020-344-100	100	HARD	1884	HARD	1	hard
Johansson-2020-344-101	101	INTERCOURSE			0	have sexual intercourse
Johansson-2020-344-102	102	HEAD	1256	HEAD	0	head
Johansson-2020-344-103	103	HEAR	1408	HEAR	0	hear
Johansson-2020-344-104	104	HEART	1223	HEART	0	heart
Johansson-2020-344-105	105	HEAVY	1210	HEAVY	0	heavy
Johansson-2020-344-106	106	HERE	136	HERE	0	here
Johansson-2020-344-107	107	HIDE	2486	HIDE	0	hide
Johansson-2020-344-108	108	HIGH	1265	HIGH	0	high
Johansson-2020-344-109	109	HIT	1433	HIT	0	hit
Johansson-2020-344-110	110	HORN	1393	HORN (ANATOMY)	0	horn
Johansson-2020-344-111	111	HOT	1286	HOT	0	hot
Johansson-2020-344-112	112	HOUSE	1252	HOUSE	0	house
Johansson-2020-344-113	113	HOW?	1239	HOW	0	how?
Johansson-2020-344-114	114	IF	1459	IF	0	if
Johansson-2020-344-115	115	IN FRONT OF	1883	IN FRONT OF	0	in front of
Johansson-2020-344-116	116	IN(SIDE)	1460	IN	0	in(side)
Johansson-2020-344-117	117	KILL	1417	KILL	0	kill
Johansson-2020-344-118	118	KNEE	1371	KNEE	1	knee
Johansson-2020-344-119	119	KNOW	3626	KNOW	0	know
Johansson-2020-344-120	120	LAUGH	1355	LAUGH	0	laugh
Johansson-2020-344-121	121	LEAF	628	LEAF	0	leaf
Johansson-2020-344-122	122	LEFT	244	LEFT	0	left
Johansson-2020-344-123	123	LOWER LEG	447	LOWER LEG	0	leg (lower)
Johansson-2020-344-124	124	LIE (DOWN)	215	LIE DOWN	0	lie (down)
Johansson-2020-344-125	125	LIGHT (NOT DARK)	250	LIGHT (COLOR)	0	light (not dark)
Johansson-2020-344-126	126	LIGHT (WGT)	1052	LIGHT (WEIGHT)	0	light (wgt)
Johansson-2020-344-127	127	LIP	478	LIP	0	lip
Johansson-2020-344-128	128	LIVE	1422	BE ALIVE	0	live
Johansson-2020-344-129	129	LIVER	1224	LIVER	0	liver
Johansson-2020-344-130	130	LONG	1203	LONG	0	long
Johansson-2020-344-131	131	LOUD	377	LOUD	0	loud
Johansson-2020-344-132	132	LOUSE	1392	LOUSE	0	louse
Johansson-2020-344-133	133	LOW	721	LOW	0	low
Johansson-2020-344-134	134	LUNG	688	LUNG	1	lung
Johansson-2020-344-135	135	MAN	1554	MAN	0	man
Johansson-2020-344-136	136	MANY	1198	MANY	0	many
Johansson-2020-344-137	137	MAYBE			0	maybe
Johansson-2020-344-138	138	MILK	635	MILK	1	milk
Johansson-2020-344-139	139	MOON	1313	MOON	0	moon
Johansson-2020-344-140	140	MOUNTAIN	639	MOUNTAIN	0	mountain
Johansson-2020-344-141	141	MOUTH	674	MOUTH	0	mouth
Johansson-2020-344-142	142	NAME	1405	NAME	0	name
Johansson-2020-344-143	143	NARROW	1267	NARROW	0	narrow
Johansson-2020-344-144	144	NAVEL	1838	NAVEL	1	navel
Johansson-2020-344-145	145	NEAR	1942	NEAR	0	near
Johansson-2020-344-146	146	NECK	1333	NECK	1	neck
Johansson-2020-344-147	147	NEW	1231	NEW	0	new
Johansson-2020-344-148	148	NIGHT	1233	NIGHT	0	night
Johansson-2020-344-149	149	NINE	1483	NINE	0	nine
Johansson-2020-344-150	150	NIPPLE	796	NIPPLE	1	nipple
Johansson-2020-344-151	151	NO(THING)	687	NOTHING	0	no(thing)
Johansson-2020-344-152	152	NOSE	1221	NOSE	1	nose
Johansson-2020-344-153	153	NOT	1240	NOT	0	not
Johansson-2020-344-154	154	NOW	1376	NOW	0	now
Johansson-2020-344-155	155	OLD (AN)	2112	OLD (AGED)	0	old (an)
Johansson-2020-344-156	156	OLD (INAN)	2113	OLD (USED)	0	old (inan)
Johansson-2020-344-157	157	OLD MAN	406	OLD MAN	0	old man
Johansson-2020-344-158	158	OLD WOMAN	907	OLD WOMAN	0	old woman
Johansson-2020-344-159	159	ONE	1493	ONE	0	one
Johansson-2020-344-160	160	OTHER	197	OTHER	0	other
Johansson-2020-344-161	161	OUT(SIDE)	762	OUTSIDE	0	out(side)
Johansson-2020-344-162	162	PART	779	PART	0	part
Johansson-2020-344-163	163	PATH	2252	PATH	0	path
Johansson-2020-344-164	164	PENIS	1222	PENIS	0	penis
Johansson-2020-344-165	165	PERSON	683	PERSON	0	person
Johansson-2020-344-166	166	POINTY	372	POINTED	0	pointy
Johansson-2020-344-167	167	QUICK	1631	FAST	0	quick
Johansson-2020-344-168	168	QUIET	1314	QUIET	0	quiet
Johansson-2020-344-169	169	RAIN	658	RAIN (PRECIPITATION)	0	rain
Johansson-2020-344-170	170	RAW	1959	RAW	0	raw
Johansson-2020-344-171	171	RED	156	RED	0	red
Johansson-2020-344-172	172	RIGHT	1019	RIGHT	0	right
Johansson-2020-344-173	173	RIPE	178	RIPE	0	ripe
Johansson-2020-344-174	174	RIVER	666	RIVER	0	river
Johansson-2020-344-175	175	ROOT	670	ROOT	0	root
Johansson-2020-344-176	176	ROPE	1218	ROPE	0	rope
Johansson-2020-344-177	177	ROTTEN	1728	ROTTEN	1	rotten
Johansson-2020-344-178	178	ROUGH	1923	ROUGH	0	rough
Johansson-2020-344-179	179	ROUND	1395	ROUND	1	round
Johansson-2020-344-180	180	RUN	1519	RUN	0	run
Johansson-2020-344-181	181	SAD	699	SAD	0	sad
Johansson-2020-344-182	182	SALTY	1091	SALTY	0	salty
Johansson-2020-344-183	183	SAME	200	SAME	0	same
Johansson-2020-344-184	184	SAND	671	SAND	0	sand
Johansson-2020-344-185	185	SAY	1458	SAY	1	say
Johansson-2020-344-186	186	SEA	1474	SEA	0	sea
Johansson-2020-344-187	187	SEE	1409	SEE	0	see
Johansson-2020-344-188	188	SEED	714	SEED	0	seed
Johansson-2020-344-189	189	SEMEN	2283	SEMEN	0	semen
Johansson-2020-344-190	190	SEVEN	1704	SEVEN	0	seven
Johansson-2020-344-191	191	SHADOW	1388	SHADE	0	shadow
Johansson-2020-344-192	192	SHALLOW	193	SHALLOW	0	shallow
Johansson-2020-344-193	193	SHARP	1396	SHARP	0	sharp
Johansson-2020-344-194	194	SHORT	1645	SHORT	1	short
Johansson-2020-344-195	195	SIT	1416	SIT	0	sit
Johansson-2020-344-196	196	SIX	1703	SIX	0	six
Johansson-2020-344-197	197	SKIN	763	SKIN	1	skin
Johansson-2020-344-198	198	SKY	1732	SKY	0	sky
Johansson-2020-344-199	199	SLEEP	1585	SLEEP	0	sleep
Johansson-2020-344-200	200	SLOW	701	SLOW	0	slow
Johansson-2020-344-201	201	SMALL	1246	SMALL	1	small
Johansson-2020-344-202	202	SMELL	2124	SMELL	0	smell
Johansson-2020-344-203	203	SMOKE	778	SMOKE (EXHAUST)	1	smoke
Johansson-2020-344-204	204	SMOOTH	1234	SMOOTH	0	smooth
Johansson-2020-344-205	205	SNEEZE	1621	SNEEZE	1	sneeze
Johansson-2020-344-206	206	SNORE	1983	SNORE	1	snore
Johansson-2020-344-207	207	SOFT	1856	SOFT	0	soft
Johansson-2020-344-208	208	SOME	1241	SOME	0	some
Johansson-2020-344-209	209	SOUR	1906	SOUR	0	sour
Johansson-2020-344-210	210	SPIT	1440	SPIT	1	spit
Johansson-2020-344-211	211	STAND	1442	STAND	0	stand
Johansson-2020-344-212	212	STAR	1430	STAR	0	star
Johansson-2020-344-213	213	STONE	857	STONE	0	stone
Johansson-2020-344-214	214	STRAIGHT	1404	STRAIGHT	0	straight
Johansson-2020-344-215	215	STRONG	785	STRONG	0	strong
Johansson-2020-344-216	216	SUCK	1421	SUCK	1	suck
Johansson-2020-344-217	217	SUN	1343	SUN	0	sun
Johansson-2020-344-218	218	SWEAT	125	SWEAT (SUBSTANCE)	0	sweat
Johansson-2020-344-219	219	SWEET	717	SWEET	0	sweet
Johansson-2020-344-220	220	SWIM	1439	SWIM	0	swim
Johansson-2020-344-221	221	TAIL	1220	TAIL	0	tail
Johansson-2020-344-222	222	TAKE	1749	TAKE	0	take
Johansson-2020-344-223	223	TASTE	2190	TASTE	1	taste
Johansson-2020-344-224	224	TEN	1515	TEN	0	ten
Johansson-2020-344-225	225	TESTICLE	797	TESTICLES	0	testicle
Johansson-2020-344-226	226	THAT	78	THAT	0	that
Johansson-2020-344-227	227	THAT YONDER			0	that yonder
Johansson-2020-344-228	228	THEN	2921	THEN	0	then
Johansson-2020-344-229	229	THERE	1937	THERE	0	there
Johansson-2020-344-230	230	THERE YONDER			0	there yonder
Johansson-2020-344-231	231	THICK	1244	THICK	0	thick
Johansson-2020-344-232	232	THIGH	471	UPPER LEG (THIGH)	0	leg (upper, thigh)
Johansson-2020-344-233	233	THIN	2308	THIN	0	thin
Johansson-2020-344-234	234	THINK	2271	THINK	1	think
Johansson-2020-344-235	235	THIS	1214	THIS	1	this
Johansson-2020-344-236	236	THREE	492	THREE	0	three
Johansson-2020-344-237	237	THROAT	1346	THROAT	1	throat
Johansson-2020-344-238	238	THUNDER	1150	THUNDER	0	thunder
Johansson-2020-344-239	239	TIE	1917	TIE	1	tie
Johansson-2020-344-240	240	TOE	1389	TOE	0	toe
Johansson-2020-344-241	241	TONGUE	1205	TONGUE	1	tongue
Johansson-2020-344-242	242	TOOTH	1380	TOOTH	0	tooth
Johansson-2020-344-243	243	TOUCH	1892	TOUCH	0	touch
Johansson-2020-344-244	244	TREE	906	TREE	0	tree
Johansson-2020-344-245	245	TURN	1588	TURN	1	turn
Johansson-2020-344-246	246	TWELVE	1707	TWELVE	0	twelve
Johansson-2020-344-247	247	TWENTY	1710	TWENTY	0	twenty
Johansson-2020-344-248	248	TWO	1498	TWO	0	two
Johansson-2020-344-249	249	UGLY	1548	UGLY	0	ugly
Johansson-2020-344-250	250	URINATE	592	PISS	0	urinate
Johansson-2020-344-251	251	VOMIT	1278	VOMIT	0	vomit
Johansson-2020-344-252	252	VULVA	1837	VULVA	0	vulva
Johansson-2020-344-253	253	WANT	1784	WANT	0	want
Johansson-2020-344-254	254	WATER	948	WATER	0	water
Johansson-2020-344-255	255	WEAK	1601	WEAK	0	weak
Johansson-2020-344-256	256	WET	1726	WET	0	wet
Johansson-2020-344-257	257	WHAT?	1236	WHAT	1	what?
Johansson-2020-344-258	258	WHEN?	1238	WHEN	0	when?
Johansson-2020-344-259	259	WHERE?	1237	WHERE	1	where?
Johansson-2020-344-260	260	WHITE	1335	WHITE	0	white
Johansson-2020-344-261	261	WHO?	1235	WHO	1	who?
Johansson-2020-344-262	262	WHY?	1270	WHY	0	why?
Johansson-2020-344-263	263	WIDE	1243	WIDE	0	wide
Johansson-2020-344-264	264	WING	1257	WING	0	wing
Johansson-2020-344-265	265	WIND	960	WIND	0	wind
Johansson-2020-344-266	266	WOMAN	962	WOMAN	0	woman
Johansson-2020-344-267	267	WORD	1599	WORD	0	word
Johansson-2020-344-268	268	WRONG	1390	WRONG	0	wrong
Johansson-2020-344-269	269	YAWN	1028	YAWN	1	yawn
Johansson-2020-344-270	270	YEAR	1226	YEAR	0	year
Johansson-2020-344-271	271	YELLOW	1424	YELLOW	0	yellow
Johansson-2020-344-272	272	YESTERDAY	1174	YESTERDAY	0	yesterday
Johansson-2020-344-273	273	YOUNG	1207	YOUNG	0	young
Johansson-2020-344-274	274	1SG	1209	I	1	1SG
Johansson-2020-344-275	275	1PLI	1131	WE (INCLUSIVE)	1	1PLI
Johansson-2020-344-276	276	1PLE	1130	WE (EXCLUSIVE)	1	1PLE
Johansson-2020-344-277	277	2SG	1215	THOU	1	2SG
Johansson-2020-344-278	278	2PL	1213	YOU	1	2PL
Johansson-2020-344-279	279	3SG	262	HE OR SHE OR IT	1	3SG
Johansson-2020-344-280	280	3PL	817	THEY	0	3PL
Johansson-2020-344-281	281	mother's mother (female speaking)			0	MM (fs)
Johansson-2020-344-282	282	mother's mother (male speaking)			0	MM (ms)
Johansson-2020-344-283	283	father's mother (female speaking)			0	FM (fs)
Johansson-2020-344-284	284	father's mother (male speaking)			0	FM (ms)
Johansson-2020-344-285	285	mother's father (female speaking)			1	MF (fs)
Johansson-2020-344-286	286	mother's father (male speaking)			1	MF (ms)
Johansson-2020-344-287	287	father's father (female speaking)			0	FF (fs)
Johansson-2020-344-288	288	father's father (male speaking)			0	FF (ms)
Johansson-2020-344-289	289	mother (female speaking)			1	M (fs)
Johansson-2020-344-290	290	mother (male speaking)			1	M (ms)
Johansson-2020-344-291	291	father (female speaking)			1	F (fs)
Johansson-2020-344-292	292	father (male speaking)			1	F (ms)
Johansson-2020-344-293	293	mother's older sister (female speaking)			0	MoZ (fs)
Johansson-2020-344-294	294	mother's older sister (male speaking)			0	MoZ (ms)
Johansson-2020-344-295	295	mother's younger sister (female speaking)			0	MyZ (fs)
Johansson-2020-344-296	296	mother's younger sister (male speaking)			0	MyZ (ms)
Johansson-2020-344-297	297	father's older sister (female speaking)			0	FoZ (fs)
Johansson-2020-344-298	298	father's older sister (male speaking)			0	FoZ (ms)
Johansson-2020-344-299	299	father's younger sister (female speaking)			0	FyZ (fs)
Johansson-2020-344-300	300	father's younger sister (male speaking)			0	FyZ (ms)
Johansson-2020-344-301	301	mother's older brother (female speaking)			0	MoB (fs)
Johansson-2020-344-302	302	mother's older brother (male speaking)			0	MoB (ms)
Johansson-2020-344-303	303	mother's younger brother (female speaking)			0	MyB (fs)
Johansson-2020-344-304	304	mother's younger brother (male speaking)			0	MyB (ms)
Johansson-2020-344-305	305	father's older brother (female speaking)			0	FoB (fs)
Johansson-2020-344-306	306	father's older brother (male speaking)			0	FoB (ms)
Johansson-2020-344-307	307	father's younger brother (female speaking)			0	FyB (fs)
Johansson-2020-344-308	308	father's younger brother (male speaking)			0	FyB (ms)
Johansson-2020-344-309	309	older sister (female speaking)	2419	OLDER SISTER (OF WOMAN)	0	oZ (fs)
Johansson-2020-344-310	310	older sister (male speaking)	2418	OLDER SISTER (OF MAN)	0	oZ (ms)
Johansson-2020-344-311	311	younger sister (female speaking)	2421	YOUNGER SISTER (OF WOMAN)	0	yZ (fs)
Johansson-2020-344-312	312	younger sister (male speaking)	2420	YOUNGER SISTER (OF MAN)	0	yZ (ms)
Johansson-2020-344-313	313	older brother (female speaking)	2415	OLDER BROTHER (OF WOMAN)	0	oB (fs)
Johansson-2020-344-314	314	older brother (male speaking)	2414	OLDER BROTHER (OF MAN)	0	oB (ms)
Johansson-2020-344-315	315	younger brother (female speaking)	2417	YOUNGER BROTHER (OF WOMAN)	0	yB (fs)
Johansson-2020-344-316	316	younger brother (male speaking)	2416	YOUNGER BROTHER (OF MAN)	0	yB (ms)
Johansson-2020-344-317	317	older sister's daughter (female speaking)			0	oZD (fs)
Johansson-2020-344-318	318	older sister's daughter (male speaking)			0	oZD (ms)
Johansson-2020-344-319	319	younger sister's daughter (female speaking)			0	yZD (fs)
Johansson-2020-344-320	320	younger sister's daughter (male speaking)			0	yZD (ms)
Johansson-2020-344-321	321	older brother's daughter (female speaking)			0	oBD (fs)
Johansson-2020-344-322	322	older brother's daughter (male speaking)			0	oBD (ms)
Johansson-2020-344-323	323	younger brother's daughter (female speaking)			0	yBD (fs)
Johansson-2020-344-324	324	younger brother's daughter (male speaking)			0	yBD (ms)
Johansson-2020-344-325	325	older sister's son (female speaking)			0	oZS (fs)
Johansson-2020-344-326	326	older sister's son (male speaking)			0	oZS (ms)
Johansson-2020-344-327	327	younger sister's son (female speaking)			0	yZS (fs)
Johansson-2020-344-328	328	younger sister's son (male speaking)			0	yZS (ms)
Johansson-2020-344-329	329	older brother's son (female speaking)			0	oBS (fs)
Johansson-2020-344-330	330	older brother's son (male speaking)			0	oBS (ms)
Johansson-2020-344-331	331	younger brother's son (female speaking)			0	yBS (fs)
Johansson-2020-344-332	332	younger brother's son (male speaking)			0	yBS (ms)
Johansson-2020-344-333	333	daughter (female speaking)			0	D (fs)
Johansson-2020-344-334	334	daughter (male speaking)			0	D (ms)
Johansson-2020-344-335	335	son (female speaking)			0	S (fs)
Johansson-2020-344-336	336	son (male speaking)			0	S (ms)
Johansson-2020-344-337	337	daughter's daughter (female speaking)			0	DD (fs)
Johansson-2020-344-338	338	daughter's daughter (male speaking)			0	DD (ms)
Johansson-2020-344-339	339	son's daughter (female speaking)			0	SD (fs)
Johansson-2020-344-340	340	son's daughter (male speaking)			0	SD (ms)
Johansson-2020-344-341	341	daughter's son (female speaking)			0	DS (fs)
Johansson-2020-344-342	342	daughter's son (male speaking)			0	DS (ms)
Johansson-2020-344-343	343	son's son (female speaking)			0	SS (fs)
Johansson-2020-344-344	344	son's son (male speaking)			0	SS (ms)
