ID	NUMBER	SHINTANI1990	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Kingsada-1999-303-1	1	131002	body hair	189	HAIR (BODY)
Kingsada-1999-303-2	2	131003	skin	763	SKIN
Kingsada-1999-303-3	3	131006	bone	1394	BONE
Kingsada-1999-303-4	4	131011	blood	946	BLOOD
Kingsada-1999-303-5	5	131013	tears	1651	TEAR (OF EYE)
Kingsada-1999-303-6	6	131014	sweat	125	SWEAT (SUBSTANCE)
Kingsada-1999-303-7	7	131029	head	1256	HEAD
Kingsada-1999-303-8	8	131032	hair	2648	HAIR (HEAD)
Kingsada-1999-303-9	9	131041	face	1560	FACE
Kingsada-1999-303-10	10	131042	eyebrow	1173	EYEBROW
Kingsada-1999-303-11	11	131043	eyes	1248	EYE
Kingsada-1999-303-12	12	131059	ears	1247	EAR
Kingsada-1999-303-13	13	131065	nose	1221	NOSE
Kingsada-1999-303-14	14	131074	mouth	674	MOUTH
Kingsada-1999-303-15	15	131077	tongue	1205	TONGUE
Kingsada-1999-303-16	16	131086	teeth	1380	TOOTH
Kingsada-1999-303-17	17	131097	beard / mustache	678	BEARD
Kingsada-1999-303-18	18	131105	neck	1333	NECK
Kingsada-1999-303-19	19	131109	shoulder	1482	SHOULDER
Kingsada-1999-303-20	20	131111	hand	1277	HAND
Kingsada-1999-303-21	21	131112	right-hand	2183	RIGHT HAND
Kingsada-1999-303-22	22	131113	left-hand	2182	LEFT HAND
Kingsada-1999-303-23	23	131114	arm	1673	ARM
Kingsada-1999-303-24	24	131115	elbow	981	ELBOW
Kingsada-1999-303-25	25	131121	palm	1183	PALM OF HAND
Kingsada-1999-303-26	26	131122	finger	1303	FINGER
Kingsada-1999-303-27	27	131127	fingernail	1258	FINGERNAIL
Kingsada-1999-303-28	28	131140	breast	1402	BREAST
Kingsada-1999-303-29	29	131141	nipple	796	NIPPLE
Kingsada-1999-303-30	30	131146	waist	1681	WAIST
Kingsada-1999-303-31	31	131147	belly	1251	BELLY
Kingsada-1999-303-32	32	131148	navel	1838	NAVEL
Kingsada-1999-303-33	33	131158	buttocks	834	BUTTOCKS
Kingsada-1999-303-34	34	131159	feces	675	FAECES (EXCREMENT)
Kingsada-1999-303-35	35	131160	to defecate	676	SHIT (DEFECATE)
Kingsada-1999-303-36	36	131161	urine	1142	URINE
Kingsada-1999-303-37	37	131162	to urinate	592	PISS
Kingsada-1999-303-38	38	131164	to expel intestinal gas	1159	FART
Kingsada-1999-303-39	39	131179	to give birth	1195	GIVE BIRTH
Kingsada-1999-303-40	40	131184	leg	1297	LEG
Kingsada-1999-303-41	41	131190	foot	1301	FOOT
Kingsada-1999-303-42	42	131205	back	1291	BACK
Kingsada-1999-303-43	43	132009	to see, to look	1409	SEE
Kingsada-1999-303-44	44	132020	to hear, to listen	1408	HEAR
Kingsada-1999-303-45	45	132028	to eat	1336	EAT
Kingsada-1999-303-46	46	132029	to drink	1401	DRINK
Kingsada-1999-303-47	47	132031	to bite	1403	BITE
Kingsada-1999-303-48	48	132070	to hold with the hand	1448	HOLD
Kingsada-1999-303-49	49	132090	to put, to place in/on	998	PUT
Kingsada-1999-303-50	50	132106	to push	1452	PUSH
Kingsada-1999-303-51	51	132107	to pull	1455	PULL
Kingsada-1999-303-52	52	132138	to throw	1456	THROW
Kingsada-1999-303-53	53	132153	to pick up	371	PICK UP
Kingsada-1999-303-54	54	132160	to ladle	2788	LADLE (WATER)
Kingsada-1999-303-55	55	132170	to run	1519	RUN
Kingsada-1999-303-56	56	132178	to sit	1416	SIT
Kingsada-1999-303-57	57	132182	to stand up	570	STAND UP
Kingsada-1999-303-58	58	132213	to cough	879	COUGH
Kingsada-1999-303-59	59	260019	1	1493	ONE
Kingsada-1999-303-60	60	260020	2	1498	TWO
Kingsada-1999-303-61	61	260021	3	492	THREE
Kingsada-1999-303-62	62	260022	4	1500	FOUR
Kingsada-1999-303-63	63	260023	5	493	FIVE
Kingsada-1999-303-64	64	260024	6	1703	SIX
Kingsada-1999-303-65	65	260025	7	1704	SEVEN
Kingsada-1999-303-66	66	260026	8	1705	EIGHT
Kingsada-1999-303-67	67	260027	9	1483	NINE
Kingsada-1999-303-68	68	260028	10	1515	TEN
Kingsada-1999-303-69	69	260052	11	1706	ELEVEN
Kingsada-1999-303-70	70	260053	12	1707	TWELVE
Kingsada-1999-303-71	71	011001	sky	1732	SKY
Kingsada-1999-303-72	72	011005	sun	1343	SUN
Kingsada-1999-303-73	73	011011	moon	1313	MOON
Kingsada-1999-303-74	74	011016	star	1430	STAR
Kingsada-1999-303-75	75	011027	wind	960	WIND
Kingsada-1999-303-76	76	011036	rain	658	RAIN (PRECIPITATION)
Kingsada-1999-303-77	77	011037	it rains	1253	RAINING
Kingsada-1999-303-78	78	011064	thunder	1150	THUNDER
Kingsada-1999-303-79	79	011065	it thunders	2378	THUNDER (VERB)
Kingsada-1999-303-80	80	012007	soil, earth	1228	EARTH (SOIL)
Kingsada-1999-303-81	81	012010	stone	857	STONE
Kingsada-1999-303-82	82	012014	hill, mountain	2118	MOUNTAIN OR HILL
Kingsada-1999-303-83	83	012032	water	948	WATER
Kingsada-1999-303-84	84	012063	lake	624	LAKE
Kingsada-1999-303-85	85	012064	river	666	RIVER
Kingsada-1999-303-86	86	012098	fire	221	FIRE
Kingsada-1999-303-87	87	012106	smoke	778	SMOKE (EXHAUST)
Kingsada-1999-303-88	88	060007	house	1252	HOUSE
Kingsada-1999-303-89	89	061012	roof	769	ROOF
Kingsada-1999-303-90	90	061015	pillar	2045	COLUMN
Kingsada-1999-303-91	91	072005	mat	195	MAT
Kingsada-1999-303-92	92	072006	covering		
Kingsada-1999-303-93	93	072014	pillow	1044	PILLOW
Kingsada-1999-303-94	94	072017	mosquito net	2795	MOSQUITO NET
Kingsada-1999-303-95	95	073004	knife	1352	KNIFE
Kingsada-1999-303-96	96	073095	to cut	1432	CUT
Kingsada-1999-303-97	97	020004	tail	1220	TAIL
Kingsada-1999-303-98	98	020009	horn	1393	HORN (ANATOMY)
Kingsada-1999-303-99	99	021002	tiger	846	TIGER
Kingsada-1999-303-100	100	021010	elephant	1290	ELEPHANT
Kingsada-1999-303-101	101	021022	mouse	1491	MOUSE
Kingsada-1999-303-102	102	022001	bird	937	BIRD
Kingsada-1999-303-103	103	022002	to fly	1441	FLY (MOVE THROUGH AIR)
Kingsada-1999-303-104	104	022010	egg	744	EGG
Kingsada-1999-303-105	105	022015	crow	913	CROW
Kingsada-1999-303-106	106	023005	buffalo	934	BUFFALO
Kingsada-1999-303-107	107	023005	cattle	1153	CATTLE
Kingsada-1999-303-108	108	023008	pig	1337	PIG
Kingsada-1999-303-109	109	023016	horse	615	HORSE
Kingsada-1999-303-110	110	023020	dog	2009	DOG
Kingsada-1999-303-111	111	023024	cat	1208	CAT
Kingsada-1999-303-112	112	023026	cock / hen	1318	CHICKEN
Kingsada-1999-303-113	113	023042	duck	1360	DUCK
Kingsada-1999-303-114	114	024008	bee	665	BEE
Kingsada-1999-303-115	115	024020	fly	1504	FLY (INSECT)
Kingsada-1999-303-116	116	024025	mosquito	1509	MOSQUITO
Kingsada-1999-303-117	117	024035	ant	587	ANT
Kingsada-1999-303-118	118	024042	snake	730	SNAKE
Kingsada-1999-303-119	119	025001	fish	227	FISH
Kingsada-1999-303-120	120	025030	shrimp	2686	CRUSTACEANS (PRAWNS OR SHRIMP)
Kingsada-1999-303-121	121	025034	crab	2348	CRAB
Kingsada-1999-303-122	122	025051	frog	503	FROG
Kingsada-1999-303-123	123	026015	to fish with a rod	2796	FISHING (WITH A HOOK)
Kingsada-1999-303-124	124	026026	to kill	1417	KILL
Kingsada-1999-303-125	125	030003	seed	714	SEED
Kingsada-1999-303-126	126	030008	tree	906	TREE
Kingsada-1999-303-127	127	030021	leaf	628	LEAF
Kingsada-1999-303-128	128	030024	flower	239	FLOWER
Kingsada-1999-303-129	129	030044	bean	832	BEAN
Kingsada-1999-303-130	130	031004	bamboo	1927	BAMBOO
Kingsada-1999-303-131	131	033003	paddy plant		
Kingsada-1999-303-132	132	033008	rice	926	RICE
Kingsada-1999-303-133	133	034049	sesame	2797	SESAME
Kingsada-1999-303-134	134	034063	ginger	2500	GINGER
Kingsada-1999-303-135	135	035027	banana	868	BANANA
Kingsada-1999-303-136	136	035041	sugar cane	146	SUGAR CANE
Kingsada-1999-303-137	137	035042	betel nut	217	BETELNUT
Kingsada-1999-303-138	138	036002	to plant	1486	PLANT (SOMETHING)
Kingsada-1999-303-139	139	036012	plow	2154	PLOUGH (INSTRUMENT)
Kingsada-1999-303-140	140	036016	irrigated field	140	PADDY FIELD
Kingsada-1999-303-141	141	999999	upland field	2794	UPLAND FIELD
Kingsada-1999-303-142	142	044002	oil	1484	OIL (ORGANIC SUBSTANCE)
Kingsada-1999-303-143	143	044005	salt	1274	SALT
Kingsada-1999-303-144	144	044010	sugar	862	SUGAR
Kingsada-1999-303-145	145	999999	chilli	191	CHILI PEPPER
Kingsada-1999-303-146	146	045002	tea	1373	TEA
Kingsada-1999-303-147	147	045004	wine	1524	WINE
Kingsada-1999-303-148	148	045009	cigarette / tobacco	969	CIGARETTE
Kingsada-1999-303-149	149	046001	to cook rice	1100	COOK (SOMETHING)
Kingsada-1999-303-150	150	046022	firewood	10	FIREWOOD
Kingsada-1999-303-151	151	046040	pot	1462	POT
Kingsada-1999-303-152	152	046072	to boil	2492	BOIL (SOMETHING)
Kingsada-1999-303-153	153	046084	to roast	1962	ROAST (SOMETHING)
Kingsada-1999-303-154	154	051001	cloth	1616	CLOTH
Kingsada-1999-303-155	155	051031	to sew	1457	SEW
Kingsada-1999-303-156	156	051037	needle	1382	NEEDLE (FOR SEWING)
Kingsada-1999-303-157	157	051042	thread	1161	THREAD
Kingsada-1999-303-158	158	051063	to wash clothes	1453	WASH
Kingsada-1999-303-159	159	052001	clothes	1895	CLOTHES
Kingsada-1999-303-160	160	052002	to wear	976	WEAR
Kingsada-1999-303-161	161	052003	to undress	1755	UNDRESS
Kingsada-1999-303-162	162	081007	road	667	ROAD
Kingsada-1999-303-163	163	081027	village	930	VILLAGE
Kingsada-1999-303-164	164	091003	to buy	1869	BUY
Kingsada-1999-303-165	165	091004	to sell	1571	SELL
Kingsada-1999-303-166	166	092003	market	633	MARKET
Kingsada-1999-303-167	167	093001	money	1559	MONEY
Kingsada-1999-303-168	168	101009	to speak	1623	SPEAK
Kingsada-1999-303-169	169	101012	to ask	1309	ASK (INQUIRE)
Kingsada-1999-303-170	170	101013	to answer	1275	ANSWER
Kingsada-1999-303-171	171	101018	to call	1084	CALL
Kingsada-1999-303-172	172	101038	language	1307	LANGUAGE
Kingsada-1999-303-173	173	111049	to write	1672	WRITE
Kingsada-1999-303-174	174	112001	paper	648	PAPER
Kingsada-1999-303-175	175	112034	to stick	254	STICKING
Kingsada-1999-303-176	176	113001	to play	1413	PLAY
Kingsada-1999-303-177	177	113045	song	1096	SONG
Kingsada-1999-303-178	178	141012	to get tired	1996	GET TIRED
Kingsada-1999-303-179	179	141013	to rest	168	REST
Kingsada-1999-303-180	180	131014	to sleep	1585	SLEEP
Kingsada-1999-303-181	181	141022	to die	1494	DIE
Kingsada-1999-303-182	182	141029	age	1789	AGE
Kingsada-1999-303-183	183	142001/2	to be ill	1847	SICK
Kingsada-1999-303-184	184	142007	painful	1129	PAINFUL
Kingsada-1999-303-185	185	142021	to hiccough	162	HICCOUGH
Kingsada-1999-303-186	186	142022	to burp	2789	BURP
Kingsada-1999-303-187	187	142063	lice	1392	LOUSE
Kingsada-1999-303-188	188	143009	medicine	1372	MEDICINE
Kingsada-1999-303-189	189	144013	bow	994	BOW
Kingsada-1999-303-190	190	144014	arrow	977	ARROW
Kingsada-1999-303-191	191	151003	name	1405	NAME
Kingsada-1999-303-192	192	152018	father	1217	FATHER
Kingsada-1999-303-193	193	152020	mother	1216	MOTHER
Kingsada-1999-303-194	194	152050	husband	1200	HUSBAND
Kingsada-1999-303-195	195	152051	wife	1199	WIFE
Kingsada-1999-303-196	196	152080	son	1620	SON
Kingsada-1999-303-197	197	152085	daughter	1357	DAUGHTER
Kingsada-1999-303-198	198	160002	child	2099	CHILD
Kingsada-1999-303-199	199	160006	male / man	2106	MALE PERSON
Kingsada-1999-303-200	200	160010	female / woman	2105	FEMALE PERSON
Kingsada-1999-303-201	201	160041	man / human being	683	PERSON
Kingsada-1999-303-202	202	160062	people	789	PEOPLE
Kingsada-1999-303-203	203	181084	to meet with	1831	MEET
Kingsada-1999-303-204	204	181092	to wait for	1590	WAIT (FOR)
Kingsada-1999-303-205	205	181094	to give to	1447	GIVE
Kingsada-1999-303-206	206	182001	to use	2072	USE (VERB)
Kingsada-1999-303-207	207	182008	to look for	1468	LOOK FOR
Kingsada-1999-303-208	208	191003	to laugh	1355	LAUGH
Kingsada-1999-303-209	209	191018	to love	923	LOVE
Kingsada-1999-303-210	210	191034	to fear, to be afraid of	1419	FEAR (BE AFRAID)
Kingsada-1999-303-211	211	191036	to be frightened		
Kingsada-1999-303-212	212	192008	to know	1410	KNOW (SOMETHING)
Kingsada-1999-303-213	213	192023	to remember	707	REMEMBER
Kingsada-1999-303-214	214	192024	to forget	1523	FORGET
Kingsada-1999-303-215	215	201002	cold	1287	COLD
Kingsada-1999-303-216	216	201004	hot	1286	HOT
Kingsada-1999-303-217	217	201011	hungry	1533	BE HUNGRY
Kingsada-1999-303-218	218	201012	thirsty	847	THIRSTY
Kingsada-1999-303-219	219	201017	drunk	1463	DRUNK
Kingsada-1999-303-220	220	202001	delicious	1813	TASTY
Kingsada-1999-303-221	221	202003	sweet	717	SWEET
Kingsada-1999-303-222	222	202005	sour	1906	SOUR
Kingsada-1999-303-223	223	202007	pepper-hot	544	SPICY
Kingsada-1999-303-224	224	202010	salty	1091	SALTY
Kingsada-1999-303-225	225	204004	thing	738	THING
Kingsada-1999-303-226	226	204005	big	1202	BIG
Kingsada-1999-303-227	227	204007	small	1246	SMALL
Kingsada-1999-303-228	228	204009	tall, high	2790	HIGH OR TALL
Kingsada-1999-303-229	229	204010	low	721	LOW
Kingsada-1999-303-230	230	204012	long	1203	LONG
Kingsada-1999-303-231	231	204013	short	1645	SHORT
Kingsada-1999-303-232	232	204016	broad, wide	2652	BROAD OR WIDE
Kingsada-1999-303-233	233	204017	narrow	1267	NARROW
Kingsada-1999-303-234	234	204018	thick	1244	THICK
Kingsada-1999-303-235	235	204019	thin	2308	THIN
Kingsada-1999-303-236	236	204020	deep	1593	DEEP
Kingsada-1999-303-237	237	204021	shallow	193	SHALLOW
Kingsada-1999-303-238	238	204023	round	1395	ROUND
Kingsada-1999-303-239	239	204057	color	1613	COLOR
Kingsada-1999-303-240	240	204062	red	156	RED
Kingsada-1999-303-241	241	204063	yellow	1424	YELLOW
Kingsada-1999-303-242	242	204064	blue	837	BLUE
Kingsada-1999-303-243	243	204065	white	1335	WHITE
Kingsada-1999-303-244	244	204055	black	163	BLACK
Kingsada-1999-303-245	245	204072	green	1425	GREEN
Kingsada-1999-303-246	246	205001	sound, noise	1811	SOUND OR NOISE
Kingsada-1999-303-247	247	210001	light	1052	LIGHT (WEIGHT)
Kingsada-1999-303-248	248	210002	heavy	1210	HEAVY
Kingsada-1999-303-249	249	210007	dry	1398	DRY
Kingsada-1999-303-250	250	210008	wet	1726	WET
Kingsada-1999-303-251	251	210010	soft	1856	SOFT
Kingsada-1999-303-252	252	210011	hard	1884	HARD
Kingsada-1999-303-253	253	210028	full	1429	FULL
Kingsada-1999-303-254	254	210036	new	1231	NEW
Kingsada-1999-303-255	255	210037	old	2113	OLD (USED)
Kingsada-1999-303-256	256	210049	raw	1959	RAW
Kingsada-1999-303-257	257	210050	done, ripe	178	RIPE
Kingsada-1999-303-258	258	210065	good	1035	GOOD
Kingsada-1999-303-259	259	210066	bad	1292	BAD
Kingsada-1999-303-260	260	210079	difficult	584	DIFFICULT
Kingsada-1999-303-261	261	210080	easy	686	EASY
Kingsada-1999-303-262	262	210083	expensive	1426	EXPENSIVE
Kingsada-1999-303-263	263	210083	cheap	1887	CHEAP
Kingsada-1999-303-264	264	210086	clean	704	CLEAN
Kingsada-1999-303-265	265	210087	dirty	1230	DIRTY
Kingsada-1999-303-266	266	210090	quick, fast	1631	FAST
Kingsada-1999-303-267	267	210091	slow	701	SLOW
Kingsada-1999-303-268	268	210110	fat	1279	FAT (OBESE)
Kingsada-1999-303-269	269	210112	thin	2308	THIN
Kingsada-1999-303-270	270	210114	old of age	2112	OLD (AGED)
Kingsada-1999-303-271	271	210115	young of age	1207	YOUNG
Kingsada-1999-303-272	272	230010	year	1226	YEAR
Kingsada-1999-303-273	273	230012	this year	513	THIS YEAR
Kingsada-1999-303-274	274	230015	last year	514	LAST YEAR
Kingsada-1999-303-275	275	230013	next year	515	NEXT YEAR
Kingsada-1999-303-276	276	230044	month	1370	MONTH
Kingsada-1999-303-277	277	230048	this month	2791	THIS MONTH
Kingsada-1999-303-278	278	230049	last month	2792	LAST MONTH
Kingsada-1999-303-279	279	230050	next month	2793	NEXT MONTH
Kingsada-1999-303-280	280	230057	today	1283	TODAY
Kingsada-1999-303-281	281	230061	yesterday	1174	YESTERDAY
Kingsada-1999-303-282	282	230058	tomorrow	1329	TOMORROW
Kingsada-1999-303-283	283	230079	morning	1339	MORNING
Kingsada-1999-303-284	284	230081	noon	12	MIDDAY
Kingsada-1999-303-285	285	230084	evening	1629	EVENING
Kingsada-1999-303-286	286	230085	night	1233	NIGHT
Kingsada-1999-303-287	287	241015	above	1741	ABOVE
Kingsada-1999-303-288	288	241018	below	1485	BELOW OR UNDER
Kingsada-1999-303-289	289	241039	far	1406	FAR
Kingsada-1999-303-290	290	241040	near	1942	NEAR
Kingsada-1999-303-291	291	242007	to come	1446	COME
Kingsada-1999-303-292	292	242008	to go	695	GO
Kingsada-1999-303-293	293	242011	to enter	749	ENTER
Kingsada-1999-303-294	294	242012	to exit	1107	GO OUT
Kingsada-1999-303-295	295	270001	I	1209	I
Kingsada-1999-303-296	296	270002	you, thou	1215	THOU
Kingsada-1999-303-297	297	270003	he, she	2642	HE OR SHE
Kingsada-1999-303-298	298	270008	we	1212	WE
Kingsada-1999-303-299	299	270006	you, ye	1213	YOU
Kingsada-1999-303-300	300	270007	they	817	THEY
Kingsada-1999-303-301	301	250001	I am		
Kingsada-1999-303-302	302	250008	I am not		
Kingsada-1999-303-303	303	250003	I have		
