ID	NUMBER	RUSSIAN	TRANSLITERATION	ENGLISH	CATEGORY	ABSTRACTNESS	LENGTH	GENDER	OBJECTIVE_WORD_FREQUENCY	VISUAL_MEAN	AUDITORY_MEAN	OLFACTORY_MEAN	GUSTATORY_MEAN	HAPTIC_MEAN	IMAGEABILITY_MEAN	MANIPULABILITY_MEAN	SPATIAL_LOCALIZATION_MEAN	AOA_MEAN	SUBJECTIVE_FREQ_MEAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Miklashevsky-2018-506-1	1	абрикос	abrikos	apricot	Food	concrete	7	m	0.6	4.03	1.63	5	5.82	4.97	5.93	6	3.92	4.13	3.96	3730	APRICOT
Miklashevsky-2018-506-2	2	автобус	avtobus	bus	Transport	concrete	7	m	1.8	4.53	4.77	2.97	1.61	5.14	6.67	5.66	3.22	4.03	6.75	1070	BUS
Miklashevsky-2018-506-3	3	автомобиль	avtomobil	car	Transport	concrete	10	m	2.2	6.45	5	4.1	1.74	4.46	6.86	6.7	2.88	3.63	6.08	1111	CAR
Miklashevsky-2018-506-4	4	аист	aist	stork	Animal	concrete	4	m	0.6	3.9	1.79	2.21	2.21	2.66	6.55	1.9	5.24	4.33	2.14	3724	STORK
Miklashevsky-2018-506-5	5	акула	akula	shark	Animal	concrete	5	f	1	4.91	2.29	2.24	2.27	3.11	6.86	2.16	1.71	4.8	3.2	1110	SHARK
Miklashevsky-2018-506-6	6	акцент	aktsent	accent	Sound	concrete	6	m	1.4	1.91	4.64	1.38	1	1.68	3.82	1.8	3.64	9.4	4.2		
Miklashevsky-2018-506-7	7	ананас	ananas	pineapple	Food	concrete	6	m	0.7	4.48	1.55	5.41	6.15	4.07	6.83	4.27	2.91	5.2	2.9	2440	PINEAPPLE
Miklashevsky-2018-506-8	8	антенна	antenna	antenna	Object	concrete	7	f	1	4.57	1.96	1.58	1	3.19	6.66	5.43	5.16	5.69	3.27		
Miklashevsky-2018-506-9	9	апельсин	apelsin	orange	Food	concrete	8	m	0.9	4.8	1.86	6.15	6.54	4.7	6.9	5.68	3.72	3.38	5.69	2627	ORANGE (FRUIT)
Miklashevsky-2018-506-10	10	арбуз	arbuz	water-melon	Food	concrete	5	m	1	4.41	2.07	5.14	6.03	5.1	6.93	5.21	1.78	3.11	3.89	2766	WATERMELON
Miklashevsky-2018-506-11	11	асфальт	asfalt	asphalt 	Ground	concrete	7	m	1.5	4.14	1.79	4	1.91	3.97	6.66	3.86	2.15	4.57	4.41		
Miklashevsky-2018-506-12	12	атака	ataka	attack	Action	abstract	5	f	1.6	3.6	3.71	1.81	1.54	3.11	5	5.14	4.22	5.62	3.73	722	ATTACK
Miklashevsky-2018-506-13	13	аэростат	aerostat	balloon	Transport	concrete	8	m	0.5	3.53	3.43	1.52	1.23	2.32	4.04	3.8	4.32	11.25	1.6		
Miklashevsky-2018-506-14	14	бабочка	babochka	butterfly	Animal	concrete	7	f	1.3	5.87	1.7	1.27	1.44	4.08	6.83	2.73	4.79	3.23	3.65	1791	BUTTERFLY
Miklashevsky-2018-506-15	15	баклажан	baklazhan	aubergine	Food	concrete	8	m	0.7	4.66	1.64	3.55	5.27	4.14	6.86	4.84	1.97	5.83	3.27	1146	AUBERGINE
Miklashevsky-2018-506-16	16	баран	baran	ram	Animal	concrete	5	m	1	5.44	4.5	4.07	4.14	3.79	6.75	3.48	2.62	4.13	3.73	1344	RAM
Miklashevsky-2018-506-17	17	баржа	barzha	barge	Transport	concrete	5	f	1	3.76	2.76	2	1.45	2.62	5.82	4.2	2.67	8.83	1.97		
Miklashevsky-2018-506-18	18	барсук	barsuk	badger	Animal	concrete	6	m	0.4	4	2.03	3.59	2.18	2.79	6.17	2.3	2.58	6.67	2.38	3717	BADGER
Miklashevsky-2018-506-19	19	батарейка	batareyka	battery	Tool_precise_grip	concrete	9	f	0.7	4.63	1.57	2	2.05	4.36	6.82	4.74	2.26	5.13	4.5	662	BATTERY
Miklashevsky-2018-506-20	20	башня	bashnya	tower	Building	concrete	5	f	1.6	5.4	1.8	2.21	1.54	2.76	6.33	4.5	5.49	5.2	3.79	1671	TOWER
Miklashevsky-2018-506-21	21	бег	beg	running	Action	abstract	3	m	1.3	3.41	3.37	2.07	1.72	2.92	5.1	3	2.61	3.7	5.38		
Miklashevsky-2018-506-22	22	бездна	bezdna	abyss	Ground	concrete	6	f	1.2	3.57	2.63	1.47	1.5	1.83	5.21	1.23	1.78	9.63	3.03		
Miklashevsky-2018-506-23	23	белка	belka	squirrel	Animal	concrete	5	f	1.1	4.97	3.17	2.52	3.11	4.28	6.33	3.16	3.62	4.27	4.52	1628	SQUIRREL
Miklashevsky-2018-506-24	24	бисер	biser	glass beads	Tool_precise_grip	concrete	5	m	0.6	5.13	2.18	1.17	1.64	4.11	6.71	6.32	2.5	6.27	2.53		
Miklashevsky-2018-506-25	25	бобр	bobr	beaver	Animal	concrete	4	m	0	4.84	1.5	1.9	1.44	3.23	6.55	2.3	2.66	4.87	2.96	1194	BEAVER
Miklashevsky-2018-506-26	26	бокал	bokal	wineglass	Tool_precise_grip	concrete	5	m	1.4	4.38	2.97	2.55	2.76	5.69	6.59	5.83	3.03	6.07	5		
Miklashevsky-2018-506-27	27	болт	bolt	bolt	Tool_precise_grip	concrete	4	m	0.8	3.93	2	1.77	1.4	3.34	6.41	5.65	2.47	6.19	3		
Miklashevsky-2018-506-28	28	боль	bol	pain	Sense_Phys	abstract	4	f	2.1	3	3.34	2.17	2.12	4.14	3.86	3.17	4.42	3.67	5.14	1783	PAIN
Miklashevsky-2018-506-29	29	ботинок	botinok	lace boot	Clothes	concrete	7	m	1.6	3.86	2.17	3.52	1.39	4.83	6.86	4.63	1.94	3.8	4.93		
Miklashevsky-2018-506-30	30	боярышник	boyaryishnik	hawthorn	Food	concrete	9	m	0.4	3.24	1.43	5.1	5.07	3.79	4.87	3.07	2.64	7.52	2.4	1168	HAWTHORN
Miklashevsky-2018-506-31	31	бровь	brov	eyebrow	Body_Part	concrete	5	f	1.6	4.67	1.37	1.55	1.57	4.86	6.56	4	3.68	3.83	4.93	1173	EYEBROW
Miklashevsky-2018-506-32	32	бросок	brosok	throw	Action	abstract	6	m	1	3.1	2.5	1.15	1.21	3.22	5.41	5.33	3.75	4.92	3.7		
Miklashevsky-2018-506-33	33	брусника	brusnika	cowberry	Food	concrete	8	f	0.6	4.74	1.43	3.87	5.67	4.15	6.41	4.55	2.94	6.2	2.88		
Miklashevsky-2018-506-34	34	бумеранг	bumerang	boomerang	Tool_power_grip	concrete	8	m	0.4	4.2	2.96	1.33	1.47	3.62	6.34	6.32	4.78	6.59	2.28	135	BOOMERANG
Miklashevsky-2018-506-35	35	бункер	bunker	bunker	Building	concrete	6	m	0.8	3.73	2.19	1.83	1.17	2.17	5.97	4	1.25	9.56	2.52		
Miklashevsky-2018-506-36	36	бурундук	burunduk	chipmunk	Animal	concrete	8	m	0.2	4.87	2.97	2.72	2.29	3.83	5.67	2.94	2.46	5.97	2.29		
Miklashevsky-2018-506-37	37	бусина	busina	bead	Tool_precise_grip	concrete	6	f	0.3	4.84	2	1.43	2.19	5.65	6.48	5.53	2.59	4.87	2.38	1860	BEAD
Miklashevsky-2018-506-38	38	бык	byik	bull	Animal	concrete	3	m	1.4	5.03	3.39	2.63	2	3.35	6.59	2.67	3.21	3.97	3.04	1008	BULL
Miklashevsky-2018-506-39	39	вагон	vagon	carriage	Transport	concrete	5	m	1.9	4.07	4.28	2.52	1.14	3.52	6.56	3.93	3.09	4.96	3.32		
Miklashevsky-2018-506-40	40	валенок	valenok	valenki (sing.)	Clothes	concrete	7	m	1.2	3.73	1.85	2.1	1.63	3.79	6.76	5.81	1.94	3.81	2.48		
Miklashevsky-2018-506-41	41	вдох	vdoh	inhalation	Action	abstract	4	m	0.8	2.27	4.56	4.93	2.7	1.9	4.89	1.48	4.25	4.19	4.83		
Miklashevsky-2018-506-42	42	веко	veko	eyelid	Body_Part	concrete	4	n	1.3	5.1	1.5	1.24	1.82	4.38	6.04	3.13	3.86	6.07	3.43	17	EYELID
Miklashevsky-2018-506-43	43	велосипед	velosiped	bicycle	Transport	concrete	9	m	1.4	4.83	3.29	1.73	1.39	5.26	6.86	6.61	2.5	3.65	4.5	747	BICYCLE
Miklashevsky-2018-506-44	44	венец	venets	crown	Clothes	concrete	5	m	1	3.34	1.77	1.62	1.34	2.88	4.9	3.83	3.76	8.7	2.43		
Miklashevsky-2018-506-45	45	веник	venik	besom	Tool_power_grip	concrete	5	m	0.9	4	3.28	2.62	1.38	5.28	6.63	6.45	2.31	3.85	4.07		
Miklashevsky-2018-506-46	46	верблюд	verblyud	camel	Animal	concrete	7	m	1.1	4.77	2.89	2.81	1.46	3.07	6.72	3.19	3.81	4.54	2.17	1871	CAMEL
Miklashevsky-2018-506-47	47	вертолет	vertolet	helicopter	Transport	concrete	8	m	1.6	3.86	4.93	1.68	1.61	3	6.59	4.97	5.58	5.17	3.03	2580	HELICOPTER
Miklashevsky-2018-506-48	48	веселье	vesele	fun	Sense_Emotion	abstract	7	n	1.2	3.6	5.2	2.34	2.39	1.97	3.84	3.09	5.05	4.5	5.96		
Miklashevsky-2018-506-49	49	вилка	vilka	fork	Tool_precise_grip	concrete	5	f	1.2	4.53	1.86	2.73	4.14	5.48	6.93	6.68	2.75	2.54	6.4	1302	FORK
Miklashevsky-2018-506-50	50	вина	vina	guilt	Sense_Emotion	abstract	4	f	1.7	2.07	1.6	2.28	2.41	1.58	2.97	2.1	4.15	6.03	4.93	134	FAULT
Miklashevsky-2018-506-51	51	виноград	vinograd	grapes (sing.)	Food	concrete	8	m	1.1	4.97	1.82	4.21	6.32	4.86	6.61	5.13	3.79	4	3.97	920	GRAPE
Miklashevsky-2018-506-52	52	вишня	vishnya	cherry	Food	concrete	5	f	0.9	4.48	1.31	5.69	6.52	4.9	6.74	4.69	4.03	4	4.64		
Miklashevsky-2018-506-53	53	вкус	vkus	taste	Sense_Phys	abstract	4	m	1.9	1.77	1.86	4.81	5.89	2.3	3.79	2.24	3.81	3.27	6	2190	TASTE
Miklashevsky-2018-506-54	54	волан	volan	shuttlecock	Tool_power_grip	concrete	5	m	0.2	3.83	2.93	1.31	1.1	4.03	4.59	4.21	3.48	8.21	1.61		
Miklashevsky-2018-506-55	55	волк	volk	wolf	Animal	concrete	4	m	1.6	5.2	4.37	2.62	2.79	3.72	6.52	2.56	2.68	3.63	3.04	522	WOLF
Miklashevsky-2018-506-56	56	волнение	volnenie	excitement 	Sense_Emotion	abstract	8	n	1.6	2.34	2.77	1.76	1.9	1.54	2.87	2.07	3.91	7.6	4.9		
Miklashevsky-2018-506-57	57	волчок	volchok	whipping top	Tool_precise_grip	concrete	6	m	0.5	4.14	3.07	2.14	1.62	4.83	5.8	5.4	2.15	5.07	2.17		
Miklashevsky-2018-506-58	58	воображение	voobrazhenie	imagination	Intelligence	abstract	11	n	1.5	4.93	2.55	1.69	1.24	1.79	2.83	1.63	5.82	7.13	5.21		
Miklashevsky-2018-506-59	59	воробей	vorobey	sparrow	Animal	concrete	7	m	1.2	4.67	4.21	2.12	1.57	3.07	6.72	2.89	4.78	3.15	4.67	1854	SPARROW
Miklashevsky-2018-506-60	60	ворона	vorona	crow	Animal	concrete	6	f	1.1	4.5	3.11	1.67	1.37	3	6.66	2.13	5.19	3.74	2.93	913	CROW
Miklashevsky-2018-506-61	61	воспоминание	vospominanie	memory	Intelligence	abstract	12	n	1.9	3.45	2.75	2.77	2.37	2.04	4.31	1.27	5.06	6.33	5.69		
Miklashevsky-2018-506-62	62	восприятие	vospriyatie	perception	Sense_Phys	abstract	10	n	1.6	3.61	3.43	2.63	3.11	2.62	2.59	2.07	5.09	8.57	4.77		
Miklashevsky-2018-506-63	63	впадина	vpadina	hollow	Ground	concrete	7	f	0.7	4.93	1.61	1.42	1	3.04	5.46	2.38	1.44	7.19	2.2		
Miklashevsky-2018-506-64	64	всплытие	vsplyitie	emersion (only about liquid environments)	Action	abstract	8	n	0.2	2.28	2.93	1.59	1.24	2.34	4.15	3.24	3.03	7.96	2.36		
Miklashevsky-2018-506-65	65	выбор	vyibor	choice	Action	abstract	5	m	2.1	2.57	1.77	1.76	2.46	2.07	2.81	3	4.27	6.23	5.64		
Miklashevsky-2018-506-66	66	газон	gazon	lawn	Ground	concrete	5	m	1.1	4.5	2.26	4.63	1.97	4.1	6.38	5	1.63	7.22	3.17		
Miklashevsky-2018-506-67	67	гайка	gayka	female screw	Tool_precise_grip	concrete	5	f	0.8	4.66	2.14	2.07	1.77	4.04	6.36	6.29	2.62	6.1	2.73		
Miklashevsky-2018-506-68	68	галлюцинация	gallyutsinatsiya	hallucination	Intelligence	abstract	12	f	0.8	4.72	2.45	2.03	1.58	2.03	3.11	1.87	4.67	10.03	2.76		
Miklashevsky-2018-506-69	69	галоша	galosha	galosh	Clothes	concrete	6	f	0.8	4.03	2	2.1	1.52	4.23	6.38	4.8	2.3	5.24	1.88		
Miklashevsky-2018-506-70	70	гардина	gardina	curtain	Object	concrete	7	f	0.3	4.27	1.53	1.48	1.46	3.76	5.63	5.81	4.51	6.76	3.36	2621	CURTAIN
Miklashevsky-2018-506-71	71	гвоздь	gvozd	nail	Tool_precise_grip	concrete	6	m	1.4	4.94	2.86	1.77	2	4.77	6.72	6.24	2.97	4	3.77	502	NAIL (TOOL)
Miklashevsky-2018-506-72	72	гипотеза	gipoteza	hypothesis	Intelligence	abstract	8	f	1.3	1.86	2.41	1.31	1.3	1.52	1.97	2.2	4.94	11.37	4.45		
Miklashevsky-2018-506-73	73	глаз	glaz	eye	Body_Part	concrete	4	m	2.9	6.56	1.79	1.45	2	3.21	6.93	2.81	3.85	2.93	5.97	1248	EYE
Miklashevsky-2018-506-74	74	глазок	glazok	peephole	Object	concrete	6	m	1.4	5.66	2.07	1.41	1.45	3.04	5.8	3.03	3.38	5.83	3.37		
Miklashevsky-2018-506-75	75	гнев	gnev	anger	Sense_Emotion	abstract	4	m	1.5	2.77	4.25	1.38	1.36	2.33	3.88	2.59	3.44	6.46	4.07	82	ANGER
Miklashevsky-2018-506-76	76	голова	golova	head	Body_Part	concrete	6	f	2.9	4.72	2.48	2.24	1.38	5.21	6.7	3.48	4.44	3	6.21	1256	HEAD
Miklashevsky-2018-506-77	77	голубь	golub	pigeon	Animal	concrete	6	m	1.2	5.55	3.29	2.27	1.81	3.58	6.76	2.3	5.55	3.93	4.81	1853	DOVE
Miklashevsky-2018-506-78	78	гора	gora	mountain	Ground	concrete	4	f	2.1	4.48	1.62	2.64	1.73	3.07	6.66	2.14	5.12	4.03	3.28	639	MOUNTAIN
Miklashevsky-2018-506-79	79	гордость	gordost	pride	Sense_Emotion	abstract	8	f	1.6	3.39	1.93	1.3	1.41	1.62	3.96	2.07	5.03	8.07	4.96		
Miklashevsky-2018-506-80	80	горе	gore	grief	Sense_Emotion	abstract	4	n	1.7	2.4	3.54	1.58	2	1.67	3.34	1.89	3.5	6.62	4.17	1668	GRIEF
Miklashevsky-2018-506-81	81	горилла	gorilla	gorilla	Animal	concrete	7	f	0.4	4.21	4.76	2.86	1.69	2.83	6.52	2.34	3.91	5.15	2.14	3144	GORILLA
Miklashevsky-2018-506-82	82	горох	goroh	pea	Food	concrete	5	m	0.9	3.83	2	3.79	5.66	4.72	6.7	4.03	2.31	4.11	3.57	2025	PEA
Miklashevsky-2018-506-83	83	грабли	grabli	rake	Tool_power_grip	concrete	6	plur_tant	0.7	4.5	2.37	1.79	1.32	4.86	6.26	6.69	2.46	4.73	3.37	338	RAKE
Miklashevsky-2018-506-84	84	гранат	granat	pomegranate	Food	concrete	6	m	0.5	4.38	2.19	4.07	6.03	3.93	6.62	5.48	3.28	5.59	2.93	3732	POMEGRANATE
Miklashevsky-2018-506-85	85	грейпфрут	greypfrut	grapefruit	Food	concrete	9	m	0.2	5.03	1.71	5.34	6.32	4.96	6.86	5.42	3.18	7.87	4.17	3804	GRAPEFRUIT OR POMELO
Miklashevsky-2018-506-86	86	гриб	grib	mushroom	Food	concrete	4	m	1.6	5.32	1.25	4.13	5.04	4.08	6.76	4.73	2.24	3.67	3.96	641	MUSHROOM
Miklashevsky-2018-506-87	87	гроб	grob	coffin	Object	concrete	4	m	1.7	4.58	1.96	1.97	1.33	3.27	6.45	5.17	1.55	6.97	3.08	2011	COFFIN
Miklashevsky-2018-506-88	88	громкость	gromkost	loudness	Sound	concrete	9	f	0.5	1.9	6.38	1.41	1.18	2.17	3.79	3.45	5.42	5.07	5.45		
Miklashevsky-2018-506-89	89	груша	grusha	pear	Food	concrete	5	f	1.1	4.47	1.89	4.62	6.29	4.19	6.76	5.46	3.69	3.23	4.93	922	PEAR
Miklashevsky-2018-506-90	90	грязь	gryaz	filth	Ground	concrete	5	f	1.7	4.93	2.07	3.03	2.22	4.31	5.78	3.84	1.22	3.83	5.61	25	DIRT
Miklashevsky-2018-506-91	91	гудок	gudok	hooter	Sound	concrete	5	m	1.1	2.16	5.79	1.1	1.15	1.31	4.52	4.33	3.97	5.1	3.69		
Miklashevsky-2018-506-92	92	гусь	gus	goose	Animal	concrete	4	m	1.2	4.67	3.75	2.73	3.39	3.26	6.55	3.08	2.28	3.73	3.33	1187	GOOSE
Miklashevsky-2018-506-93	93	даль	dal	distance	Space	concrete	4	f	1.3	4.76	2.1	1.28	1.79	1.21	4.07	1.33	4.3	6.6	4.03	2978	DISTANCE
Miklashevsky-2018-506-94	94	дельтаплан	deltaplan	hang-glider	Transport	concrete	10	m	0	5.1	3.11	1.35	1.25	2.89	5.76	5.95	6.03	8.77	1.73		
Miklashevsky-2018-506-95	95	депрессия	depressiya	depression	Sense_Emotion	abstract	9	f	1.1	2.31	2.34	2.1	1.76	1.86	3.34	1.7	4.09	10.07	4.41		
Miklashevsky-2018-506-96	96	динозавр	dinozavr	dinosaur	Animal	concrete	8	m	0.6	4.45	4.1	2.52	1.38	2.21	6.73	1.4	3.82	4.1	2.73		
Miklashevsky-2018-506-97	97	дирижабль	dirizhabl	airship	Transport	concrete	9	m	0.5	4.74	1.93	1.33	1.26	2.35	5.97	4.27	5.67	8.7	2.12		
Miklashevsky-2018-506-98	98	дно	dno	bottom	Ground	concrete	3	n	1.9	3.83	1.83	1.86	2.04	3.59	4.69	2.59	1.62	5.6	4	690	BOTTOM
Miklashevsky-2018-506-99	99	допущение	dopuschenie	assumption	Intelligence	abstract	9	n	0.7	1.68	1.57	1.1	1.15	1.42	1.93	1.73	3.7	9.97	3.23		
Miklashevsky-2018-506-100	100	досада	dosada	vexation	Sense_Emotion	abstract	6	f	1.2	2.42	2.11	1.33	1.93	1.96	3.14	1.23	3.48	8.07	3.52		
Miklashevsky-2018-506-101	101	дрель	drel	drill	Tool_power_grip	concrete	5	f	0.4	4.3	5.79	2.27	1.36	5.26	6.59	6.78	2.81	6	3.27	3423	DRILL
Miklashevsky-2018-506-102	102	дротик	drotik	dart	Tool_power_grip	concrete	6	m	0.3	4.63	2	1.6	1.37	4.59	6.62	6.35	3.63	7.11	2.48	2587	DARTS
Miklashevsky-2018-506-103	103	дружба	druzhba	friendship	Sense_Emotion	abstract	6	f	1.8	2.62	2.45	1.86	1.88	2.59	4.38	2.57	4.97	5.17	5.83		
Miklashevsky-2018-506-104	104	дятел	dyatel	woodpecker	Animal	concrete	5	m	0.6	4.13	3.89	1.8	1.67	2.9	6.52	2.03	4.65	4.15	2.17	2447	WOODPECKER
Miklashevsky-2018-506-105	105	еж	ezh	hedgehog	Animal	concrete	2	m	0.9	5.06	3	2.31	1.91	4.93	6.79	2.32	1.88	3.43	2.93	1797	HEDGEHOG
Miklashevsky-2018-506-106	106	ежевика	ezhevika	blackberry	Food	concrete	7	f	0.5	4.6	1.47	4.97	5.64	4.48	5.15	4.88	2.84	6.77	2.37		
Miklashevsky-2018-506-107	107	енот	enot	raccoon	Animal	concrete	4	m	0.3	4.38	2.79	3.24	1.76	3.34	6.59	2.52	2.19	4.52	2.86	828	RACCOON
Miklashevsky-2018-506-108	108	жаба	zhaba	toad	Animal	concrete	4	f	0.7	4.34	4.03	2.07	1.72	3.76	6.59	2.03	1.75	4.56	2.71	894	TOAD
Miklashevsky-2018-506-109	109	желание	zhelanie	wish	Sense_Emotion	abstract	7	n	2.2	2.58	2.11	2	1.81	2	3.31	2.03	4.97	5.17	5.69		
Miklashevsky-2018-506-110	110	жираф	zhiraf	giraffe	Animal	concrete	5	m	0.6	5.17	2.43	2.31	1.32	3.11	6.66	2.76	5.19	3.27	2.77	3089	GIRAFFE
Miklashevsky-2018-506-111	111	жук	zhuk	beetle	Animal	concrete	3	m	1.1	4.23	3.07	1.6	1.87	3.41	6.66	2.39	2.09	3.56	2.66	2242	BEETLE
Miklashevsky-2018-506-112	112	забота	zabota	care	Sense_Emotion	abstract	6	f	1.8	3.84	2.54	1.57	1.74	2.69	4	5.2	4.94	5.27	5.38		
Miklashevsky-2018-506-113	113	зависть	zavist	envy	Sense_Emotion	abstract	7	f	1.4	2.7	2.07	1.21	1.54	2.07	2.63	1.84	3.54	7.27	3.57	40	ENVY
Miklashevsky-2018-506-114	114	зажим	zazhim	clip	Tool_precise_grip	concrete	5	m	0.7	4.06	1.86	1.41	1.41	3.64	5.11	5.68	2.35	8.43	2.87		
Miklashevsky-2018-506-115	115	заколка	zakolka	hairpin	Clothes	concrete	7	f	0.4	4.4	2	1.43	1.53	4.48	6.31	6.13	4.69	4.78	3.79		
Miklashevsky-2018-506-116	116	замысел	zamyisel	intention	Intelligence	abstract	7	m	1.6	1.94	1.71	1.1	1.22	1.58	3.03	2.27	5.15	8.27	4.08	1162	INTENTION
Miklashevsky-2018-506-117	117	запах	zapah	smell	Sense_Phys	abstract	5	m	2	1.48	1.57	5.59	3.48	1.46	2.63	2.37	3.7	3.87	5.97	3704	ODOR (SMELL)
Miklashevsky-2018-506-118	118	запонка	zaponka	cuff link	Clothes	concrete	7	f	0.4	3.93	1.73	1.24	1.82	3.9	5.3	6.23	2.92	8.33	2.43		
Miklashevsky-2018-506-119	119	застежка	zastezhka	clasp	Tool_precise_grip	concrete	8	f	0.6	4.3	2.53	1.21	1.57	4.72	5.33	6.53	3.08	5.2	4.61		
Miklashevsky-2018-506-120	120	защелка	zaschelka	latch	Tool_precise_grip	concrete	7	f	0.4	3.83	3.66	1.41	1.07	4.72	5.04	5.24	2.81	5.41	2.5	1012	LATCH
Miklashevsky-2018-506-121	121	защита	zaschita	protection	Action	abstract	6	f	2.2	2.79	2.1	1.28	1.24	3.31	3.62	5.03	4.42	6.07	4.9		
Miklashevsky-2018-506-122	122	заяц	zayats	hare	Animal	concrete	4	m	1.4	4.66	2.59	2.17	3.52	3.52	6.89	3.31	2.41	2.93	3.18	1190	HARE
Miklashevsky-2018-506-123	123	звезда	zvezda	star	Space	concrete	6	f	2.1	5.38	1.86	1.17	1.27	2.21	6.57	1.55	6.79	3.63	5	1430	STAR
Miklashevsky-2018-506-124	124	звон	zvon	jingle	Sound	concrete	4	m	1.4	1.73	6.4	1.41	1.75	1.31	3.88	3.75	5	5.07	4.64		
Miklashevsky-2018-506-125	125	звук	zvuk	sound	Sound	concrete	4	m	2.1	1.6	6.48	1.43	1.4	1.72	4.21	2.16	5.47	4.07	5.9	1811	SOUND OR NOISE
