ID	NUMBER	ENGLISH	CATEGORY	STABILITY_SCORE	CONCEPTICON_ID	CONCEPTICON_GLOSS	RANK
Swadesh-1955-215-1	1	*all	quantitatives	92	98	ALL	34
Swadesh-1955-215-2	2	and	correlatives	57	1577	AND	142
Swadesh-1955-215-3	3	animal	animals	42	619	ANIMAL	180
Swadesh-1955-215-4	4	*ashes	natural objects and phenomena	66	646	ASH	123
Swadesh-1955-215-5	5	at	locatives	100	1461	AT	26
Swadesh-1955-215-6	6	back	body parts and substances	83	1291	BACK	66
Swadesh-1955-215-7	7	bad	descriptives	40	1292	BAD	187
Swadesh-1955-215-8	8	*bark	plants and plant parts	100	1204	BARK	30
Swadesh-1955-215-9	9	because	correlatives	25	1157	BECAUSE	208
Swadesh-1955-215-10	10	*belly	body parts and substances	50	1251	BELLY	162
Swadesh-1955-215-11	11	berry (fruit)	plants and plant parts	59	904	BERRY	131
Swadesh-1955-215-12	12	*big	size	48	1202	BIG	173
Swadesh-1955-215-13	13	*bird	animals	40	937	BIRD	184
Swadesh-1955-215-14	14	*bite	body sensations and activities	57	1403	BITE	141
Swadesh-1955-215-15	15	*black	colors	83	163	BLACK	56
Swadesh-1955-215-16	16	*blood	body parts and substances	100	946	BLOOD	11
Swadesh-1955-215-17	17	blow	miscellaneous	66	175	BLOW (OF WIND)	121
Swadesh-1955-215-18	18	*bone	body parts and substances	71	1394	BONE	100
Swadesh-1955-215-19	19	breathe	body sensations and activities	25	1407	BREATHE	206
Swadesh-1955-215-20	20	brother	kinship	100	1262	BROTHER	19
Swadesh-1955-215-21	21	*burn	miscellaneous	67	2102	BURN	114
Swadesh-1955-215-22	22	child	persons	50	2099	CHILD	167
Swadesh-1955-215-23	23	clothing	cultural objects and activities	42	1895	CLOTHES	179
Swadesh-1955-215-24	24	*cloud	natural objects and phenomena	83	1489	CLOUD	64
Swadesh-1955-215-25	25	*cold	descriptives	65	1287	COLD	126
Swadesh-1955-215-26	26	*come	position and movement	100	1446	COME	23
Swadesh-1955-215-27	27	cook	cultural objects and activities	58	1100	COOK (SOMETHING)	140
Swadesh-1955-215-28	28	count	cultural objects and activities	51	1420	COUNT	160
Swadesh-1955-215-29	29	cry	oral activities	68	1839	CRY	111
Swadesh-1955-215-30	30	cut	manipulations	56	1432	CUT	146
Swadesh-1955-215-31	31	dance	cultural objects and activities	33	1879	DANCE	195
Swadesh-1955-215-32	32	day	time periods	85	1225	DAY (NOT NIGHT)	48
Swadesh-1955-215-33	33	*die	body sensations and activities	92	1494	DIE	39
Swadesh-1955-215-34	34	dig	manipulations	42	1418	DIG	181
Swadesh-1955-215-35	35	dirty	descriptives	10	1230	DIRTY	213
Swadesh-1955-215-36	36	*dog	animals	50	2009	DOG	168
Swadesh-1955-215-37	37	*drink	body sensations and activities	92	1401	DRINK	40
Swadesh-1955-215-38	38	*dry	descriptives	89	1398	DRY	44
Swadesh-1955-215-39	39	dull	descriptives	20	379	BLUNT	209
Swadesh-1955-215-40	40	dust	natural objects and phenomena	56	2	DUST	147
Swadesh-1955-215-41	41	*ear	body parts and substances	100	1247	EAR	24
Swadesh-1955-215-42	42	*earth	natural objects and phenomena	66	1228	EARTH (SOIL)	124
Swadesh-1955-215-43	43	*eat	body sensations and activities	68	1336	EAT	112
Swadesh-1955-215-44	44	*egg	body parts and substances	84	744	EGG	51
Swadesh-1955-215-45	45	eight	numerals	100	1705	EIGHT	25
Swadesh-1955-215-46	46	*eye	body parts and substances	74	1248	EYE	96
Swadesh-1955-215-47	47	fall	position and movement	67	1280	FALL	116
Swadesh-1955-215-48	48	far	location	74	1406	FAR	97
Swadesh-1955-215-49	49	*fat (grease) / fat	body parts and substances	56	323	FAT (ORGANIC SUBSTANCE)	148
Swadesh-1955-215-50	50	father	kinship	83	1217	FATHER	65
Swadesh-1955-215-51	51	fear	body sensations and activities	43	1419	FEAR (BE AFRAID)	177
Swadesh-1955-215-52	52	*feather	body parts and substances	74	1201	FEATHER	98
Swadesh-1955-215-53	53	few	quantitatives	74	1242	FEW	99
Swadesh-1955-215-54	54	fight	cultural objects and activities	9	1423	FIGHT	214
Swadesh-1955-215-55	55	*fire	natural objects and phenomena	33	221	FIRE	196
Swadesh-1955-215-56	56	*fish	animals	66	227	FISH	125
Swadesh-1955-215-57	57	five	numerals	100	493	FIVE	27
Swadesh-1955-215-58	58	float	position and movement	40	1574	FLOAT	186
Swadesh-1955-215-59	59	flow	position and movement	33	2003	FLOW	197
Swadesh-1955-215-60	60	flower	plants and plant parts	82	239	FLOWER	76
Swadesh-1955-215-61	61	*fly	position and movement	82	1441	FLY (MOVE THROUGH AIR)	77
Swadesh-1955-215-62	62	fog	natural objects and phenomena	51	249	FOG	161
Swadesh-1955-215-63	63	*foot	body parts and substances	90	1301	FOOT	43
Swadesh-1955-215-64	64	four	numerals	100	1500	FOUR	28
Swadesh-1955-215-65	65	freeze	miscellaneous	65	1431	FREEZE	127
Swadesh-1955-215-66	66	*give	position and movement	85	1447	GIVE	49
Swadesh-1955-215-67	67	*good	descriptives	83	1035	GOOD	67
Swadesh-1955-215-68	68	grass	plants and plant parts	83	606	GRASS	68
Swadesh-1955-215-69	69	*green	colors	83	1425	GREEN	69
Swadesh-1955-215-70	70	guts	body parts and substances	55	1334	GUTS	150
Swadesh-1955-215-71	71	*hair	body parts and substances	48	1040	HAIR	174
Swadesh-1955-215-72	72	*hand	body parts and substances	100	1277	HAND	29
Swadesh-1955-215-73	73	he	personal pronouns	70	1211	HE	103
Swadesh-1955-215-74	74	*head	body parts and substances	71	1256	HEAD	102
Swadesh-1955-215-75	75	*hear	body sensations and activities	85	1408	HEAR	50
Swadesh-1955-215-76	76	*heart	body parts and substances	65	1223	HEART	128
Swadesh-1955-215-77	77	here	location	49	136	HERE	172
Swadesh-1955-215-78	78	hit	manipulations	69	1433	HIT	105
Swadesh-1955-215-79	79	hold	position and movement	69	1448	HOLD	106
Swadesh-1955-215-80	80	how	interrogatives	70	1239	HOW	104
Swadesh-1955-215-81	81	hundred	numerals	82	1634	HUNDRED	78
Swadesh-1955-215-82	82	hunt	cultural objects and activities	59	1435	HUNT	135
Swadesh-1955-215-83	83	husband	kinship	57	1200	HUSBAND	143
Swadesh-1955-215-84	84	*i	personal pronouns	100	1209	I	31
Swadesh-1955-215-85	85	ice	natural objects and phenomena	100	617	ICE	32
Swadesh-1955-215-86	86	if	correlatives	31	1459	IF	201
Swadesh-1955-215-87	87	in	locatives	57	1460	IN	144
Swadesh-1955-215-88	88	*kill	miscellaneous	25	1417	KILL	207
Swadesh-1955-215-89	89	*know	body sensations and activities	59	1410	KNOW (SOMETHING)	136
Swadesh-1955-215-90	90	lake	natural objects and phenomena	56	624	LAKE	149
Swadesh-1955-215-91	91	laugh	oral activities	92	1355	LAUGH	41
Swadesh-1955-215-92	92	*leaf	plants and plant parts	100	628	LEAF	33
Swadesh-1955-215-93	93	left (side)	location	33	244	LEFT	198
Swadesh-1955-215-94	94	leg	body parts and substances	17	1297	LEG	212
Swadesh-1955-215-95	95	*lie	position and movement	33	1411	LIE (REST)	199
Swadesh-1955-215-96	96	live	body sensations and activities	75	1422	BE ALIVE	90
Swadesh-1955-215-97	97	*liver	body parts and substances	40	1224	LIVER	188
Swadesh-1955-215-98	98	*long	size	82	1203	LONG	79
Swadesh-1955-215-99	99	*louse	animals	80	1392	LOUSE	81
Swadesh-1955-215-100	100	*man	persons	45	1554	MAN	175
Swadesh-1955-215-101	101	*many	quantitatives	58	1198	MANY	137
Swadesh-1955-215-102	102	*meat (flesh)	body parts and substances	77	2615	FLESH OR MEAT	85
Swadesh-1955-215-103	103	mother	kinship	83	1216	MOTHER	52
Swadesh-1955-215-104	104	*mountain	natural objects and phenomena	67	639	MOUNTAIN	113
Swadesh-1955-215-105	105	*mouth	body parts and substances	68	674	MOUTH	107
Swadesh-1955-215-106	106	*name	miscellaneous	100	1405	NAME	1
Swadesh-1955-215-107	107	narrow	size	59	1267	NARROW	130
Swadesh-1955-215-108	108	near	location	51	1942	NEAR	151
Swadesh-1955-215-109	109	*neck	body parts and substances	49	1333	NECK	169
Swadesh-1955-215-110	110	*new	descriptives	82	1231	NEW	70
Swadesh-1955-215-111	111	*night	time periods	82	1233	NIGHT	71
Swadesh-1955-215-112	112	nine	numerals	100	1483	NINE	2
Swadesh-1955-215-113	113	*nose	body parts and substances	66	1221	NOSE	117
Swadesh-1955-215-114	114	*not	miscellaneous	83	1240	NOT	53
Swadesh-1955-215-115	115	old	descriptives	100	1229	OLD	3
Swadesh-1955-215-116	116	*one	numerals	100	1493	ONE	4
Swadesh-1955-215-117	117	other	miscellaneous	92	197	OTHER	35
Swadesh-1955-215-118	118	*person (human being)	persons	74	683	PERSON	91
Swadesh-1955-215-119	119	play	cultural objects and activities	50	1413	PLAY	163
Swadesh-1955-215-120	120	pull	position and movement	43	1455	PULL	176
Swadesh-1955-215-121	121	push	position and movement	17	1452	PUSH	211
Swadesh-1955-215-122	122	*rain	natural objects and phenomena	83	2108	RAINING OR RAIN	54
Swadesh-1955-215-123	123	*red	colors	66	156	RED	118
Swadesh-1955-215-124	124	right (side)	location	51	1019	RIGHT	152
Swadesh-1955-215-125	125	right (correct)	descriptives	50	1725	CORRECT (RIGHT)	164
Swadesh-1955-215-126	126	river	natural objects and phenomena	51	666	RIVER	153
Swadesh-1955-215-127	127	*road (path) / road	miscellaneous	33	667	ROAD	191
Swadesh-1955-215-128	128	*root	plants and plant parts	82	670	ROOT	72
Swadesh-1955-215-129	129	rope	cultural objects and activities	85	1218	ROPE	46
Swadesh-1955-215-130	130	rotten	descriptives	66	1728	ROTTEN	119
Swadesh-1955-215-131	131	rub	manipulations	50	1449	RUB	165
Swadesh-1955-215-132	132	salt	natural objects and phenomena	100	1274	SALT	5
Swadesh-1955-215-133	133	*sand	natural objects and phenomena	68	671	SAND	108
Swadesh-1955-215-134	134	scratch	manipulations	31	1436	SCRATCH	200
Swadesh-1955-215-135	135	sea	natural objects and phenomena	82	1474	SEA	73
Swadesh-1955-215-136	136	*see	body sensations and activities	82	1409	SEE	74
Swadesh-1955-215-137	137	*seed	plants and plant parts	66	714	SEED	120
Swadesh-1955-215-138	138	seven	numerals	100	1704	SEVEN	6
Swadesh-1955-215-139	139	sew	cultural objects and activities	100	1457	SEW	7
Swadesh-1955-215-140	140	sharp	descriptives	58	1396	SHARP	138
Swadesh-1955-215-141	141	shoot	cultural objects and activities	60	1172	SHOOT	129
Swadesh-1955-215-142	142	short	size	25	1645	SHORT	205
Swadesh-1955-215-143	143	sing	oral activities	83	1261	SING	55
Swadesh-1955-215-144	144	sister	kinship	100	1263	SISTER	8
Swadesh-1955-215-145	145	*sit	position and movement	100	1416	SIT	9
Swadesh-1955-215-146	146	six	numerals	100	1703	SIX	10
Swadesh-1955-215-147	147	*skin	body parts and substances	74	763	SKIN	92
Swadesh-1955-215-148	148	sky	natural objects and phenomena	92	1732	SKY	36
Swadesh-1955-215-149	149	*sleep	body sensations and activities	82	1585	SLEEP	75
Swadesh-1955-215-150	150	*small	size	41	1246	SMALL	182
Swadesh-1955-215-151	151	smell	body sensations and activities	0	2124	SMELL	215
Swadesh-1955-215-152	152	*smoke	natural objects and phenomena	81	778	SMOKE (EXHAUST)	80
Swadesh-1955-215-153	153	smooth	descriptives	41	1234	SMOOTH	183
Swadesh-1955-215-154	154	snake	animals	91	730	SNAKE	42
Swadesh-1955-215-155	155	snow	natural objects and phenomena	79	784	SNOW	82
Swadesh-1955-215-156	156	some	quantitatives	40	1241	SOME	185
Swadesh-1955-215-157	157	speak	oral activities	51	1623	SPEAK	154
Swadesh-1955-215-158	158	spear	cultural objects and activities	33	945	SPEAR	192
Swadesh-1955-215-159	159	spit	oral activities	56	1440	SPIT	145
Swadesh-1955-215-160	160	split	manipulations	75	1437	SPLIT	87
Swadesh-1955-215-161	161	squeeze	manipulations	28	1414	SQUEEZE	203
Swadesh-1955-215-162	162	stab	cultural objects and activities	30	1434	STAB	202
Swadesh-1955-215-163	163	*stand	position and movement	77	1442	STAND	86
Swadesh-1955-215-164	164	*star	natural objects and phenomena	100	1430	STAR	12
Swadesh-1955-215-165	165	stick	plants and plant parts	27	1295	STICK	204
Swadesh-1955-215-166	166	*stone	natural objects and phenomena	68	857	STONE	109
Swadesh-1955-215-167	167	straight	descriptives	49	1404	STRAIGHT	170
Swadesh-1955-215-168	168	suck	oral activities	75	1421	SUCK	88
Swadesh-1955-215-169	169	*sun	natural objects and phenomena	100	1343	SUN	13
Swadesh-1955-215-170	170	swell	miscellaneous	51	1573	SWELL	155
Swadesh-1955-215-171	171	*swim	position and movement	59	1439	SWIM	132
Swadesh-1955-215-172	172	*tail	body parts and substances	83	1220	TAIL	57
Swadesh-1955-215-173	173	ten	numerals	100	1515	TEN	14
Swadesh-1955-215-174	174	*that	location	42	78	THAT	178
Swadesh-1955-215-175	175	there	location	88	1937	THERE	45
Swadesh-1955-215-176	176	they	personal pronouns	50	817	THEY	166
Swadesh-1955-215-177	177	thick	size	83	1244	THICK	58
Swadesh-1955-215-178	178	thin	size	79	2308	THIN	83
Swadesh-1955-215-179	179	think	body sensations and activities	33	2271	THINK	193
Swadesh-1955-215-180	180	*this	location	34	1214	THIS	190
Swadesh-1955-215-181	181	*thou	personal pronouns	92	1215	THOU	37
Swadesh-1955-215-182	182	three	numerals	100	492	THREE	15
Swadesh-1955-215-183	183	throw	position and movement	49	1456	THROW	171
Swadesh-1955-215-184	184	tie	manipulations	74	1917	TIE	93
Swadesh-1955-215-185	185	*tongue	body parts and substances	100	1205	TONGUE	16
Swadesh-1955-215-186	186	*tooth	body parts and substances	100	1380	TOOTH	17
Swadesh-1955-215-187	187	*tree	plants and plant parts	83	906	TREE	59
Swadesh-1955-215-188	188	turn	position and movement	59	1588	TURN	133
Swadesh-1955-215-189	189	twenty	numerals	83	1710	TWENTY	60
Swadesh-1955-215-190	190	*two	numerals	100	1498	TWO	18
Swadesh-1955-215-191	191	vomit	body sensations and activities	19	1278	VOMIT	210
Swadesh-1955-215-192	192	*walk	position and movement	59	1443	WALK	134
Swadesh-1955-215-193	193	*warm (hot) / warm	descriptives	79	2272	HOT OR WARM	84
Swadesh-1955-215-194	194	wash	manipulations	83	1453	WASH	61
Swadesh-1955-215-195	195	*water	natural objects and phenomena	83	948	WATER	62
Swadesh-1955-215-196	196	*we	personal pronouns	92	1212	WE	38
Swadesh-1955-215-197	197	wet	descriptives	33	1726	WET	194
Swadesh-1955-215-198	198	*what	interrogatives	74	1236	WHAT	94
Swadesh-1955-215-199	199	when	interrogatives	74	1238	WHEN	95
Swadesh-1955-215-200	200	where	interrogatives	75	1237	WHERE	89
Swadesh-1955-215-201	201	*white	colors	51	1335	WHITE	156
Swadesh-1955-215-202	202	*who	interrogatives	83	1235	WHO	63
Swadesh-1955-215-203	203	wide	size	85	1243	WIDE	47
Swadesh-1955-215-204	204	wife	kinship	51	1199	WIFE	157
Swadesh-1955-215-205	205	wind	natural objects and phenomena	100	960	WIND	20
Swadesh-1955-215-206	206	wing	body parts and substances	66	1257	WING	122
Swadesh-1955-215-207	207	wipe	manipulations	58	1454	WIPE	139
Swadesh-1955-215-208	208	with	locatives	51	1340	WITH	158
Swadesh-1955-215-209	209	*woman	persons	71	962	WOMAN	101
Swadesh-1955-215-210	210	woods	plants and plant parts	68	420	FOREST	110
Swadesh-1955-215-211	211	work	cultural objects and activities	37	1086	WORK (ACTIVITY)	189
Swadesh-1955-215-212	212	worm	animals	100	1219	WORM	21
Swadesh-1955-215-213	213	ye	personal pronouns	67	1213	YOU	115
Swadesh-1955-215-214	214	year	time periods	100	1226	YEAR	22
Swadesh-1955-215-215	215	*yellow	colors	51	1424	YELLOW	159
